time_sec,odom_to_base_x,odom_to_base_y,odom_to_base_yaw_deg,map_to_odom_x,map_to_odom_y,map_to_odom_yaw_deg,ips_x,ips_y,ips_z,distance_to_start_m,total_distance_m,near_start,left_start_zone,lap_candidate
1783970829.264506,4.574703,0.036998,3.218830,-0.000000,-0.000000,0.000000,-17.392340,7.546835,0.057965,4.574852,4.578115,0,1,0
1783970829.315083,4.953137,0.067655,6.358774,-0.000000,-0.000000,0.000000,-17.122180,7.813605,0.058015,4.953599,4.957789,0,1,0
1783970829.364461,4.953137,0.067655,6.358774,0.000000,0.000000,-0.000000,-17.122180,7.813605,0.058015,4.953599,4.957789,0,1,0
1783970829.414585,4.953137,0.067655,6.358774,0.000000,0.000000,-0.000000,-17.122180,7.813605,0.058015,4.953599,4.957789,0,1,0
1783970829.464374,5.277992,0.111035,9.162464,0.000000,0.000000,-0.000000,-16.901240,8.055675,0.058055,5.279160,5.285527,0,1,0
1783970829.514371,5.277992,0.111035,9.162464,0.000000,0.000000,-0.000000,-16.901240,8.055675,0.058055,5.279160,5.285527,0,1,0
1783970829.564372,5.676472,0.186700,12.644221,0.000000,0.000000,-0.000000,-16.644660,8.369806,0.058098,5.679542,5.691128,0,1,0
1783970829.614596,5.676472,0.186700,12.644221,0.000000,-0.000000,0.000000,-16.644660,8.369806,0.058098,5.679542,5.691128,0,1,0
1783970829.664366,5.975978,0.259905,15.082477,0.000000,-0.000000,0.000000,-16.462310,8.618425,0.058128,5.981628,5.999450,0,1,0
1783970829.714604,5.975978,0.259905,15.082477,0.000000,-0.000000,0.000000,-16.462310,8.618425,0.058128,5.981628,5.999450,0,1,0
1783970829.764363,6.287917,0.349820,17.284726,0.000000,-0.000000,0.000000,-16.281180,8.887836,0.058155,6.297640,6.324089,0,1,0
1783970829.814460,6.287917,0.349820,17.284726,-0.000000,0.000000,0.000000,-16.281180,8.887836,0.058155,6.297640,6.324089,0,1,0
1783970829.864339,6.611912,0.455968,19.150364,-0.000000,0.000000,0.000000,-16.101250,9.177431,0.058181,6.627615,6.665029,0,1,0
1783970829.914680,6.611912,0.455968,19.150364,-0.000000,0.000000,0.000000,-16.101250,9.177431,0.058181,6.627615,6.665029,0,1,0
1783970829.964442,6.899313,0.558911,20.364981,-0.000000,0.000000,0.000000,-15.947290,9.441047,0.058202,6.921915,6.970311,0,1,0
1783970830.014866,6.899313,0.558911,20.364981,0.000000,0.000000,-0.000000,-15.947290,9.441047,0.058202,6.921915,6.970311,0,1,0
