cell_x,cell_y,world_x_m,world_y_m,hits,boundary_label
371,0,13.589250,-14.561632,100,outer
301,579,10.089250,14.388369,100,outer
294,454,9.739250,8.138369,100,outer
317,29,10.889250,-13.111632,100,outer
556,311,22.839250,0.988368,100,outer
261,277,8.089250,-0.711632,100,outer
516,238,20.839250,-2.661632,100,outer
359,291,12.989250,-0.011632,100,outer
508,154,20.439250,-6.861632,100,outer
170,275,3.539250,-0.811632,100,outer
377,308,13.889250,0.838368,100,outer
147,520,2.389250,11.438369,100,outer
388,354,14.439250,3.138369,100,outer
433,505,16.689250,10.688369,100,outer
133,213,1.689250,-3.911632,100,outer
308,65,10.439250,-11.311632,100,outer
555,351,22.789250,2.988369,100,outer
254,94,7.739250,-9.861632,100,outer
298,280,9.939250,-0.561632,100,outer
527,252,21.389250,-1.961632,100,outer
377,344,13.889250,2.638369,100,outer
148,521,2.439250,11.488369,100,outer
302,579,10.139250,14.388369,100,outer
281,456,9.089250,8.238369,100,outer
256,283,7.839250,-0.411632,100,outer
297,92,9.889250,-9.961632,100,outer
113,271,0.689250,-1.011632,100,outer
151,526,2.589250,11.738369,100,outer
252,578,7.639250,14.338369,100,outer
309,66,10.489250,-11.261632,100,outer
534,413,21.739250,6.088369,100,outer
405,528,15.289250,11.838369,100,outer
455,488,17.789250,9.838369,100,outer
313,36,10.689250,-12.761632,100,outer
336,428,11.839250,6.838369,100,outer
486,107,19.339250,-9.211632,100,outer
428,511,16.439250,10.988369,100,outer
328,573,11.439250,14.088369,100,outer
155,273,2.789250,-0.911632,100,outer
241,276,7.089250,-0.761632,100,outer
66,424,-1.660750,6.638369,100,outer
494,456,19.739250,8.238369,100,outer
181,145,4.089250,-7.311632,100,outer
380,550,14.039250,12.938369,100,outer
472,474,18.639250,9.138369,100,outer
355,563,12.789250,13.588369,100,outer
376,357,13.839250,3.288369,100,outer
67,425,-1.610750,6.688369,100,outer
283,278,9.189250,-0.661632,100,outer
554,363,22.739250,3.588369,100,outer
324,575,11.239250,14.188369,100,outer
192,276,4.639250,-0.761632,100,outer
77,438,-1.110750,7.338369,100,outer
558,333,22.939250,2.088369,100,outer
249,401,7.489250,5.488369,100,outer
329,281,11.489250,-0.511632,100,outer
369,317,13.489250,1.288368,100,outer
504,133,20.239250,-7.911632,100,outer
92,454,-0.360750,8.138369,100,outer
287,284,9.389250,-0.361632,100,outer
4,341,-4.760751,2.488369,100,outer
259,451,7.989250,7.988369,100,outer
218,413,5.939250,6.088369,100,outer
98,268,-0.060750,-1.161632,100,outer
251,447,7.589250,7.788369,100,outer
226,274,6.339250,-0.861632,100,outer
17,280,-4.110751,-0.561632,100,outer
102,467,0.139250,8.788369,100,outer
444,496,17.239250,10.238369,100,outer
316,576,10.839250,14.238369,100,outer
1,335,-4.910751,2.188369,100,outer
143,239,2.189250,-2.611632,100,outer
229,279,6.489250,-0.611632,100,outer
491,199,19.589250,-4.611632,100,outer
430,40,16.539250,-12.561632,100,outer
5,305,-4.710751,0.688368,100,outer
286,404,9.339250,5.638369,100,outer
321,282,11.089250,-0.461632,100,outer
172,153,3.639250,-6.911632,100,outer
272,277,8.639250,-0.711632,100,outer
397,537,14.889250,12.288369,100,outer
243,442,7.189250,7.538369,100,outer
507,143,20.389250,-7.411632,100,outer
222,419,6.139250,6.388369,100,outer
103,468,0.189250,8.838369,100,outer
230,280,6.539250,-0.561632,100,outer
325,23,11.289250,-13.411632,100,outer
376,334,13.839250,2.138369,100,outer
7,351,-4.610751,2.988369,100,outer
106,473,0.339250,9.088369,100,outer
497,215,19.889250,-3.811632,100,outer
312,578,10.639250,14.338369,100,outer
252,447,7.639250,7.788369,100,outer
244,443,7.239250,7.588369,100,outer
239,99,6.989250,-9.611632,100,outer
508,144,20.439250,-7.361632,100,outer
325,288,11.289250,-0.161632,100,outer
441,54,17.089250,-11.861632,100,outer
343,422,12.189250,6.538369,100,outer
8,352,-4.560751,3.038369,100,outer
355,396,12.789250,5.238369,100,outer
555,324,22.789250,1.638369,100,outer
11,357,-4.410751,3.288369,100,outer
267,283,8.389250,-0.411632,100,outer
210,566,5.539250,13.738369,100,outer
133,203,1.689250,-4.411632,100,outer
308,55,10.439250,-11.811632,100,outer
541,406,22.089250,5.738369,100,outer
374,0,13.739250,-14.561632,100,outer
145,177,2.289250,-5.711632,100,outer
320,29,11.039250,-13.111632,100,outer
508,229,20.439250,-3.111632,100,outer
36,270,-3.160750,-1.061632,100,outer
264,277,8.239250,-0.711632,100,outer
211,122,5.589250,-8.461632,100,outer
445,60,17.289250,-11.561632,100,outer
1,312,-4.910751,1.038368,100,outer
498,215,19.939250,-3.811632,100,outer
558,346,22.939250,2.738369,100,outer
132,503,1.639250,10.588369,100,outer
435,504,16.789250,10.638369,100,outer
173,275,3.689250,-0.811632,100,outer
502,185,20.139250,-5.311632,100,outer
309,56,10.489250,-11.761632,100,outer
522,429,21.139250,6.888369,100,outer
413,522,15.689250,11.538369,100,outer
71,264,-1.410750,-1.361632,100,outer
380,345,14.039250,2.688369,100,outer
375,1,13.789250,-14.511632,100,outer
479,467,18.989250,8.788369,100,outer
22,371,-3.860751,3.988369,100,outer
115,270,0.789250,-1.061632,100,outer
537,408,21.889250,5.838369,100,outer
136,213,1.839250,-3.911632,100,outer
502,450,20.139250,7.938369,100,outer
549,382,22.489250,4.538369,100,outer
456,74,17.839250,-10.861632,100,outer
305,287,10.289250,-0.211632,100,outer
143,517,2.189250,11.288369,100,outer
210,278,5.539250,-0.661632,100,outer
552,307,22.639250,0.788368,100,outer
116,271,0.839250,-1.011632,100,outer
47,400,-2.610750,5.438369,100,outer
316,445,10.839250,7.688369,100,outer
537,264,21.889250,-1.361632,100,outer
0,325,-4.960751,1.688369,100,outer
309,406,10.489250,5.738369,100,outer
295,93,9.789250,-9.911632,100,outer
141,184,2.089250,-5.361632,100,outer
316,36,10.839250,-12.761632,100,outer
474,473,18.739250,9.088369,100,outer
307,67,10.389250,-11.211632,100,outer
179,147,3.989250,-7.211632,100,outer
58,415,-2.060750,6.188369,100,outer
357,562,12.889250,13.538369,100,outer
244,276,7.239250,-0.761632,100,outer
558,323,22.939250,1.588369,100,outer
538,265,21.939250,-1.311632,100,outer
288,90,9.439250,-10.061632,100,outer
312,447,10.639250,7.788369,100,outer
308,68,10.439250,-11.161632,100,outer
387,361,14.389250,3.488369,100,outer
363,4,13.189250,-14.361632,100,outer
243,576,7.189250,14.238369,100,outer
379,357,13.989250,3.288369,100,outer
372,318,13.639250,1.338369,100,outer
312,38,10.639250,-12.661632,100,outer
3,335,-4.810751,2.188369,100,outer
157,164,2.889250,-6.361632,100,outer
332,16,11.639250,-13.761632,100,outer
248,282,7.439250,-0.461632,100,outer
195,276,4.789250,-0.761632,100,outer
252,401,7.639250,5.488369,100,outer
84,445,-0.760750,7.688369,100,outer
332,281,11.639250,-0.511632,100,outer
280,91,9.039250,-10.011632,100,outer
541,275,22.089250,-0.811632,100,outer
546,390,22.339250,4.938369,100,outer
350,415,12.539250,6.188369,100,outer
87,450,-0.610750,7.938369,100,outer
544,280,22.239250,-0.561632,100,outer
311,78,10.589250,-10.661632,100,outer
180,269,4.039250,-1.111632,100,outer
139,231,1.989250,-3.011632,100,outer
241,99,7.089250,-9.611632,100,outer
385,372,14.289250,4.038369,100,outer
422,31,16.139250,-13.011632,100,outer
138,272,1.939250,-0.961632,100,outer
218,115,5.939250,-8.811632,100,outer
88,451,-0.560750,7.988369,100,outer
281,580,9.089250,14.438369,100,outer
220,570,6.039250,13.938369,100,outer
509,444,20.489250,7.638369,100,outer
214,410,5.739250,5.938369,100,outer
375,364,13.789250,3.638369,100,outer
247,444,7.389250,7.638369,100,outer
335,291,11.789250,-0.011632,100,outer
286,286,9.339250,-0.261632,100,outer
4,308,-4.760751,0.838368,100,outer
233,280,6.689250,-0.561632,100,outer
219,116,5.989250,-8.761632,100,outer
558,336,22.939250,2.238369,100,outer
241,400,7.089250,5.438369,100,outer
113,480,0.689250,9.438369,100,outer
221,571,6.089250,13.988369,100,outer
213,567,5.689250,13.788369,100,outer
347,567,12.389250,13.788369,100,outer
548,291,22.439250,-0.011632,100,outer
366,400,13.339250,5.438369,100,outer
123,493,1.189250,10.088369,100,outer
164,265,3.239250,-1.311632,100,outer
323,438,11.189250,7.338369,100,outer
270,283,8.539250,-0.411632,100,outer
136,203,1.839250,-4.411632,100,outer
81,267,-0.910750,-1.211632,100,outer
415,521,15.789250,11.488369,100,outer
377,0,13.889250,-14.561632,100,outer
481,466,19.089250,8.738369,100,outer
11,288,-4.410751,-0.161632,100,outer
313,281,10.689250,-0.511632,100,outer
509,156,20.489250,-6.761632,100,outer
124,494,1.239250,10.138369,100,outer
554,307,22.739250,0.788368,100,outer
28,377,-3.560750,4.288369,100,outer
332,114,11.639250,-8.861632,100,outer
518,241,20.939250,-2.511632,100,outer
255,276,7.789250,-0.761632,100,outer
382,380,14.139250,4.438369,100,outer
0,315,-4.960751,1.188368,100,outer
187,141,4.389250,-7.511632,100,outer
213,279,5.689250,-0.611632,100,outer
307,57,10.389250,-11.711632,100,outer
118,270,0.939250,-1.061632,100,outer
515,235,20.789250,-2.811632,100,outer
262,580,8.139250,14.438369,100,outer
379,311,13.989250,0.988368,100,outer
29,378,-3.510750,4.338369,100,outer
149,523,2.489250,11.588369,100,outer
308,287,10.439250,-0.211632,100,outer
39,391,-3.010750,4.988369,100,outer
119,271,0.989250,-1.011632,100,outer
529,255,21.489250,-1.811632,100,outer
412,524,15.639250,11.638369,100,outer
150,524,2.539250,11.638369,100,outer
306,97,10.339250,-9.711632,100,outer
357,408,12.889250,5.838369,100,outer
466,86,18.339250,-10.261632,100,outer
263,401,8.189250,5.488369,100,outer
369,382,13.489250,4.538369,100,outer
314,446,10.739250,7.738369,100,outer
7,295,-4.610751,0.188368,100,outer
309,288,10.489250,-0.161632,100,outer
557,353,22.889250,3.088369,100,outer
214,279,5.739250,-0.611632,100,outer
246,577,7.339250,14.288369,100,outer
198,271,4.939250,-1.011632,100,outer
488,110,19.439250,-9.061632,100,outer
43,397,-2.810750,5.288369,100,outer
358,409,12.939250,5.888369,100,outer
533,261,21.689250,-1.511632,100,outer
226,110,6.339250,-9.061632,100,outer
251,283,7.589250,-0.411632,100,outer
299,94,9.989250,-9.861632,100,outer
291,90,9.589250,-10.061632,100,outer
156,274,2.839250,-0.861632,100,outer
136,216,1.839250,-3.761632,100,outer
450,492,17.539250,10.038369,100,outer
54,263,-2.260750,-1.411632,100,outer
247,578,7.389250,14.338369,100,outer
516,437,20.839250,7.288369,100,outer
293,279,9.689250,-0.611632,100,outer
140,186,2.039250,-5.261632,100,outer
509,169,20.489250,-6.111632,100,outer
548,389,22.439250,4.888369,100,outer
386,327,14.339250,1.788369,100,outer
23,275,-3.810751,-0.811632,100,outer
68,426,-1.560750,6.738369,100,outer
343,402,12.189250,5.538369,100,outer
330,432,11.539250,7.038369,100,outer
301,405,10.089250,5.688369,100,outer
288,286,9.439250,-0.261632,100,outer
283,91,9.189250,-10.011632,100,outer
502,129,20.139250,-8.111632,100,outer
82,446,-0.860750,7.738369,100,outer
2,337,-4.860751,2.288369,100,outer
236,275,6.839250,-0.811632,100,outer
183,269,4.189250,-1.111632,100,outer
557,330,22.889250,1.938369,100,outer
