stamp_sec,ego_x,ego_y,ego_yaw_deg,target_truth_x,target_truth_y,foreground_beam_count,cluster_count,target_detected,detected_local_x,detected_local_y,detected_world_x,detected_world_y,confidence
1783534364.234764,-15.725800,9.856200,58.027475,-14.353000,12.209200,154,0,1,5.701460,-0.509547,-12.274555,14.422948,0.349783
1783534364.262172,-15.612700,10.038300,58.381637,-14.153800,12.592400,159,0,1,5.701460,-0.509547,-12.189750,14.626294,0.349783
1783534364.371062,-15.453600,10.298900,58.813799,-14.153800,12.592400,161,0,1,5.701460,-0.509547,-12.065352,14.912581,0.349783
1783534364.395296,-15.324600,10.513100,59.158156,-14.021500,12.867300,168,0,1,5.701460,-0.509547,-11.964142,15.147062,0.349783
1783534364.499339,-15.223300,10.683400,59.381297,-13.921600,13.096400,175,0,1,5.701460,-0.509547,-11.880915,15.330414,0.349783
1783534364.526711,-15.119400,10.859700,59.592848,-13.855400,13.265000,189,0,1,5.701460,-0.509547,-11.794196,15.519023,0.349783
1783534364.627139,-15.012800,11.041900,59.831604,-13.811900,13.409500,205,0,1,5.701460,-0.509547,-11.707040,15.715039,0.349783
1783534364.654248,-14.913500,11.213400,60.082843,-13.786300,13.544500,210,0,1,5.701460,-0.509547,-11.628263,15.900990,0.349783
1783534364.754500,-14.799000,11.413500,60.400550,-13.772200,13.670400,212,0,1,5.701460,-0.509547,-11.539807,16.119235,0.349783
1783534364.780847,-14.703100,11.583200,60.677045,-13.767200,13.817400,230,0,1,5.701460,-0.509547,-11.466653,16.304608,0.349783
1783534364.881869,-14.600200,11.767500,61.023343,-13.772900,13.941600,239,0,1,5.701460,-0.509547,-11.392349,16.508383,0.349783
1783534364.946980,-14.504600,11.941100,61.355557,-13.789100,14.075200,252,0,1,5.701460,-0.509547,-11.324291,16.700503,0.349783
1783534364.970949,-14.393200,12.146700,61.837085,-13.813900,14.199100,254,0,1,5.701460,-0.509547,-11.253002,16.932662,0.349783
1783534365.073835,-14.303400,12.315900,62.345003,-13.854900,14.342300,286,0,1,5.701460,-0.509547,-11.205752,17.129511,0.349783
1783534365.097799,-14.207700,12.500500,62.947108,-13.898000,14.456500,308,0,1,5.701460,-0.509547,-11.160807,17.346397,0.349783
1783534365.201707,-14.118800,12.677400,63.946263,-13.954100,14.576400,315,0,1,5.701460,-0.509547,-11.156871,17.575691,0.349783
1783534365.226516,-14.026400,12.870800,65.178540,-14.016300,14.686200,343,0,1,5.701460,-0.509547,-11.170497,17.831656,0.349783
1783534365.328140,-13.950800,13.041400,68.419817,-14.092900,14.799100,386,0,1,5.701460,-0.509547,-11.379956,18.155796,0.349783
1783534365.352260,-13.899600,13.187100,74.033304,-14.174500,14.900500,402,0,1,5.701460,-0.509547,-11.841361,18.528442,0.349783
1783534365.485148,-13.870500,13.306100,78.079293,-14.267100,14.997900,419,0,1,5.701460,-0.509547,-12.194260,18.779353,0.349783
1783534365.513597,-13.848000,13.441300,82.548653,-14.356200,15.078100,454,1,1,5.701460,-0.509547,-12.603366,19.028532,0.349783
1783534365.615314,-13.834500,13.629400,88.736455,-14.464500,15.161000,490,0,1,5.701460,-0.509547,-13.199352,19.318237,0.349783
1783534365.644307,-13.837700,13.770200,93.383172,-14.624500,15.259800,504,2,1,5.701460,-0.509547,-13.665502,19.491793,0.349783
1783534365.741007,-13.850000,13.893900,97.541738,-14.751000,15.321200,529,0,1,5.701460,-0.509547,-14.093168,19.612916,0.349783
1783534365.765849,-13.874900,14.032400,102.353122,-14.866700,15.366100,552,2,1,5.701460,-0.509547,-14.596898,19.710868,0.349783
1783534365.868518,-13.907100,14.154400,106.698507,-15.001400,15.406300,561,3,1,5.701460,-0.509547,-15.057272,19.761840,0.349783
1783534365.892892,-13.952300,14.283300,111.417771,-15.124900,15.432400,572,1,1,5.701460,-0.509547,-15.559917,19.777101,0.349783
1783534366.029849,-14.003300,14.398600,115.814424,-15.260300,15.450100,572,1,1,5.701460,-0.509547,-16.027345,19.752993,0.349783
1783534366.060661,-14.071500,14.523900,120.816445,-15.386500,15.456500,590,1,1,5.701460,-0.509547,-16.554691,19.681423,0.349783
1783534366.159943,-14.177700,14.679100,127.445793,-15.529300,15.452400,575,2,1,5.701460,-0.509547,-17.239703,19.515464,0.349783
1783534366.225834,-14.271200,14.789600,132.556362,-15.716300,15.428800,537,2,1,5.701460,-0.509547,-17.751844,19.333980,0.349783
1783534366.290915,-14.372700,14.889800,137.612945,-15.857800,15.397000,401,5,1,5.701460,-0.509547,-18.240338,19.109712,0.349783
1783534366.315259,-14.479200,14.978200,142.513716,-15.994400,15.354200,527,3,1,5.701460,-0.509547,-18.693207,18.852271,0.349783
1783534366.422288,-14.580800,15.049400,146.902123,-16.123600,15.302600,438,4,1,5.701460,-0.509547,-19.078886,18.589669,0.349783
1783534366.449081,-14.700300,15.119500,151.808473,-16.235800,15.248300,242,1,1,5.701460,-0.509547,-19.484694,18.262088,0.349783
1783534366.550486,-14.815800,15.175000,156.311526,-16.356500,15.179000,184,0,1,5.701460,-0.509547,-19.832156,17.932253,0.349783
1783534366.575578,-14.947100,15.225400,161.210625,-16.463700,15.107100,216,2,1,5.701460,-0.509547,-20.180603,17.544177,0.349783
1783534366.675334,-15.070200,15.261400,165.658364,-16.576200,15.020900,168,1,1,5.701460,-0.509547,-20.467763,17.167337,0.349783
1783534366.700133,-15.195700,15.287800,170.107087,-16.674000,14.936100,125,0,1,5.701460,-0.509547,-20.724838,16.769323,0.349783
1783534366.835286,-15.327100,15.304800,174.620894,-16.767000,14.846100,116,0,1,5.701460,-0.509547,-20.955684,16.346588,0.349783
1783534366.863573,-15.457400,15.311400,179.058195,-16.858300,14.748100,83,1,1,5.701460,-0.509547,-21.149714,15.914593,0.349783
1783534366.959585,-15.645600,15.303200,-174.625076,-16.943800,14.647600,74,1,1,5.701460,-0.509547,-21.369721,15.276437,0.349783
1783534366.983883,-15.783100,15.284100,-170.006917,-17.059700,14.496000,81,1,1,5.701460,-0.509547,-21.486482,14.796547,0.349783
1783534367.084795,-15.906700,15.257200,-165.906305,-17.140300,14.380700,97,1,1,5.701460,-0.509547,-21.560618,14.363057,0.349783
