time_sec,elapsed_sec,confidence,visible,avg_speed_mps,ips_x_m,ips_y_m,speed_mps,throttle_command,steering_command
1786469585.869415045,2.599893,0.982894,1,2.783698,-15.823800,9.692600,3.243185,0.130000,0.021138
1786469585.919768333,2.650246,0.982894,1,2.730758,-15.823800,9.692600,3.243185,0.130000,0.015389
1786469585.969558716,2.700037,0.982894,1,2.765851,-15.702300,9.888600,2.319915,0.130000,0.015389
1786469586.019764662,2.750242,0.983720,1,2.797981,-15.583800,10.082600,7.538324,0.130000,0.013635
1786469586.069620609,2.800098,0.983720,1,2.748198,-15.583800,10.082600,7.538324,0.130000,0.013635
1786469586.119536638,2.850014,0.982506,1,2.807206,-15.426300,10.344200,2.765664,0.130000,0.012553
1786469586.169866085,2.900344,0.984021,1,2.839020,-15.306900,10.545200,8.654364,0.130000,0.012553
1786469586.219543457,2.950021,0.984021,1,2.791298,-15.306900,10.545200,8.654364,0.130000,0.011893
1786469586.269509077,2.999987,0.982665,1,2.822762,-15.188200,10.746700,2.106720,0.130000,0.011893
1786469586.319461584,3.049939,0.982937,1,2.852144,-15.072000,10.945900,3.325052,0.130000,0.013198
1786469586.369559050,3.100037,0.982937,1,2.806049,-15.072000,10.945900,3.325052,0.130000,0.013198
1786469586.419559002,3.150037,0.982926,1,2.834726,-14.956600,11.145600,3.119919,0.130000,0.016813
1786469586.469508886,3.199987,0.982997,1,2.862546,-14.842000,11.345700,3.148118,0.130000,0.016813
1786469586.519761562,3.250239,0.982997,1,2.818252,-14.842000,11.345700,3.148118,0.130000,0.023437
1786469586.569511175,3.299989,0.983170,1,2.850596,-14.720200,11.560400,3.628967,0.130000,0.023437
1786469586.619514227,3.349992,0.983111,1,2.871079,-14.617000,11.744600,2.814252,0.130000,0.027944
1786469586.669574976,3.400053,0.983111,1,2.828780,-14.617000,11.744600,2.814252,0.130000,0.027944
1786469586.719574451,3.450052,0.967471,0,2.860276,-14.496000,11.963400,3.312801,0.130000,0.051225
1786469586.769509077,3.499987,0.951579,0,2.887230,-14.382800,12.171800,3.435070,0.130000,0.051225
1786469586.819494247,3.549972,0.951579,0,2.911526,-14.274600,12.375400,3.256608,0.130000,0.083946
1786469586.869843006,3.600321,0.935332,0,2.870744,-14.274600,12.375400,3.256608,0.130000,0.083946
1786469586.919632912,3.650111,0.935332,0,2.894808,-14.168500,12.580100,2.366656,0.084500,0.434973
1786469586.969626904,3.700105,0.902938,0,2.917996,-14.066100,12.786600,8.210124,0.084500,0.434973
1786469587.019769430,3.750247,0.902938,0,2.878967,-14.066100,12.786600,8.210124,0.084500,0.417506
1786469587.069508791,3.799987,0.883684,0,2.911648,-13.955100,13.029800,2.570324,0.084500,0.417506
1786469587.119545221,3.850023,0.869405,0,2.917361,-13.899100,13.187900,6.336082,0.084500,0.413732
1786469587.169533730,3.900012,0.869405,0,2.879979,-13.899100,13.187900,6.336082,0.084500,0.413732
1786469587.219666719,3.950145,0.834863,0,2.916448,-13.845600,13.471100,6.098430,0.084500,0.423432
1786469587.269511223,3.999989,0.834863,0,2.880110,-13.845600,13.471100,6.098430,0.084500,0.423432
1786469587.319472551,4.049950,0.834863,0,2.877318,-13.837000,13.603400,1.193330,0.084500,0.428176
1786469587.369672537,4.100150,0.931848,1,2.875899,-13.839000,13.742100,5.299785,0.084500,0.428176
1786469587.419671774,4.150150,0.931848,1,2.841262,-13.839000,13.742100,5.299785,0.084500,0.435966
1786469587.469564438,4.200042,0.931848,1,2.807522,-13.839000,13.742100,5.299785,0.084500,0.435966
1786469587.519592524,4.250070,0.954797,1,2.808086,-13.852900,13.884300,1.025304,0.084500,0.439196
1786469587.569506407,4.299984,0.981054,1,2.823616,-13.894000,14.087100,3.045040,0.084500,0.439196
1786469587.619535208,4.350013,0.983127,1,2.822525,-13.934700,14.217400,5.799762,0.084500,0.445065
1786469587.669568300,4.400046,0.983127,1,2.790428,-13.934700,14.217400,5.799762,0.084500,0.445065
1786469587.719708204,4.450186,0.981896,1,2.821238,-14.049700,14.469300,4.946631,0.084500,0.446460
1786469587.769519567,4.499997,0.983535,1,2.790041,-14.049700,14.469300,4.946631,0.084500,0.446460
1786469587.819559336,4.550037,0.983535,1,2.759355,-14.049700,14.469300,4.946631,0.084500,0.447290
1786469587.869550943,4.600029,0.982269,1,2.760376,-14.124900,14.590500,1.303745,0.084500,0.447290
1786469587.919549704,4.650028,0.982586,1,2.760921,-14.209200,14.703000,2.003824,0.084500,0.447515
1786469587.969509125,4.699987,0.982974,1,2.762364,-14.305800,14.810700,2.242009,0.084500,0.447515
1786469588.019558430,4.750036,0.982974,1,2.733255,-14.305800,14.810700,2.242009,0.084500,0.445987
1786469588.069651365,4.800129,0.984564,1,2.761978,-14.514100,14.989700,5.720781,0.084500,0.445987
1786469588.119545460,4.850023,0.984564,1,2.733585,-14.514100,14.989700,5.720781,0.084500,0.441639
1786469588.169534922,4.900013,0.983086,1,2.732697,-14.624500,15.062600,1.205049,0.084500,0.441639
1786469588.220098972,4.950577,0.983086,1,2.704735,-14.624500,15.062600,1.205049,0.084500,0.438658
1786469588.269542933,5.000021,0.982435,1,2.705732,-14.746000,15.129100,1.420161,0.084500,0.438658
1786469588.319523096,5.050001,0.983923,1,2.707611,-14.878500,15.187200,4.994572,0.084500,0.430913
1786469588.369590044,5.100068,0.983923,1,2.681021,-14.878500,15.187200,4.994572,0.084500,0.430913
1786469588.419495344,5.149973,0.982748,1,2.692001,-15.059600,15.245600,1.797448,0.084500,0.430913
1786469588.469521523,5.199999,0.983017,1,2.693965,-15.201300,15.275800,2.104523,0.084500,0.430913
1786469588.519658327,5.250136,0.983017,1,2.668225,-15.201300,15.275800,2.104523,0.084500,0.418455
1786469588.569620132,5.300098,0.983205,1,2.671202,-15.349200,15.294100,2.203155,0.084500,0.418455
