logger_timestamp_nanoseconds,x_m,y_m,velocity_mps,acceleration_mps2,steering_command,throttle_command,steering_feedback,throttle_feedback
1787009910557615210,-16.609570,8.558240,2.502095,0.031493,0.044473,0.100000,0.026200,0.100000
1787009910607544982,-16.507540,8.694415,2.502080,0.001753,0.041920,0.100000,0.026200,0.100000
1787009910657662981,-16.507540,8.694415,2.502080,0.001753,0.041920,0.100000,0.026200,0.100000
1787009910707593801,-16.409940,8.827644,2.502137,0.012468,0.036612,0.100000,0.023000,0.100000
1787009910757654321,-16.313630,8.961803,2.502134,0.012345,0.036612,0.100000,0.022000,0.100000
1787009910807493638,-16.218560,9.096851,2.502124,0.044593,0.034540,0.100000,0.022000,0.100000
1787009910857614917,-16.218560,9.096851,2.502124,0.044593,0.034540,0.100000,0.022000,0.100000
1787009910907611483,-16.114810,9.247197,2.502156,0.019985,0.029986,0.100000,0.019400,0.100000
1787009910957563151,-16.022160,9.383913,2.502166,0.019914,0.029986,0.100000,0.018300,0.100000
1787009911007561762,-16.022160,9.383913,2.502166,0.019914,0.028105,0.100000,0.018300,0.100000
1787009911057592869,-15.919540,9.538049,2.502155,0.000923,0.028105,0.100000,0.018300,0.100000
1787009911107600865,-15.827720,9.678331,2.502188,0.002348,0.024200,0.100000,0.015700,0.100000
1787009911157543272,-15.731430,9.827643,2.502182,0.013330,0.024200,0.100000,0.014700,0.100000
1787009911207705897,-15.731430,9.827643,2.502182,0.013330,0.023148,0.100000,0.014700,0.100000
1787009911257612356,-15.638800,9.973359,2.502177,0.021085,0.023148,0.100000,0.014700,0.100000
1787009911307580702,-15.549720,10.115390,2.502194,0.023993,0.021364,0.100000,0.012600,0.100000
1787009911357483176,-15.452200,10.272810,2.502198,0.019594,0.021364,0.100000,0.012000,0.100000
1787009911407657087,-15.452200,10.272810,2.502198,0.019594,0.020445,0.100000,0.012000,0.100000
1787009911457637234,-15.368580,10.409400,2.502188,0.013314,0.020445,0.100000,0.012000,0.100000
1787009911507567219,-15.280450,10.554960,2.502199,0.032575,0.019035,0.100000,0.011000,0.100000
1787009911557606163,-15.280450,10.554960,2.502199,0.032575,0.019035,0.100000,0.011000,0.100000
1787009911607576150,-15.190430,10.705220,2.502196,0.021840,0.020025,0.100000,0.010500,0.100000
1787009911657704400,-15.103660,10.851600,2.502193,0.014835,0.020025,0.100000,0.010500,0.100000
1787009911707559503,-15.022590,10.989720,2.502195,0.026088,0.021100,0.100000,0.009900,0.100000
1787009911757585388,-15.022590,10.989720,2.502195,0.026088,0.021100,0.100000,0.009900,0.100000
1787009911807574050,-14.938330,11.134670,2.502187,0.006673,0.022043,0.100000,0.010500,0.100000
1787009911857691011,-14.848520,11.290860,2.502176,0.012657,0.022043,0.100000,0.011000,0.100000
1787009911907577753,-14.760730,11.445320,2.502182,0.002101,0.024266,0.100000,0.011000,0.100000
