logger_timestamp_nanoseconds,x_m,y_m,velocity_mps,acceleration_mps2,steering_command,throttle_command,steering_feedback,throttle_feedback
1787009831947210481,-20.872640,4.577527,0.000008,0.005712,0.000000,0.000000,0.000000,0.000000
1787009831997308215,-20.872640,4.577526,0.000006,0.006653,0.000000,0.000000,0.000000,0.000000
1787009832047168521,-20.872640,4.577526,0.000005,0.009209,0.000000,0.000000,0.000000,0.000000
1787009832097156331,-20.872640,4.577525,0.000004,0.007481,0.000000,0.110000,0.000000,0.000000
1787009832147491558,-20.872640,4.577525,0.000004,0.007481,0.000000,0.110000,0.000000,0.000000
1787009832197363437,-20.872640,4.577525,0.000003,0.026410,-0.000000,0.110000,0.000000,0.000000
1787009832247256569,-20.859150,4.588850,0.535269,7.986755,-0.000000,0.110000,0.000000,0.110000
1787009832297076560,-20.817410,4.623877,1.072588,7.844648,-0.000825,0.110000,0.000000,0.110000
1787009832347257116,-20.817410,4.623877,1.072588,7.844648,-0.000825,0.110000,0.000000,0.110000
1787009832397187030,-20.747950,4.682179,1.600031,7.693938,-0.000742,0.110000,0.000000,0.110000
1787009832447576472,-20.747950,4.682179,1.600031,7.693938,-0.000742,0.110000,0.000000,0.110000
1787009832497307419,-20.639770,4.772955,2.170536,7.528801,-0.000819,0.110000,-0.000500,0.110000
1787009832547180046,-20.505250,4.885791,2.657122,3.124282,-0.000819,0.110000,-0.000500,0.110000
1787009832597369849,-20.307180,5.051818,2.746254,0.170855,-0.002631,0.110000,-0.000500,0.110000
1787009832647324002,-20.307180,5.051818,2.746254,0.170855,-0.002631,0.110000,-0.000500,0.110000
1787009832697847567,-20.176530,5.161272,2.750715,0.026751,-0.016641,0.110000,-0.000500,0.110000
1787009832747327520,-20.176530,5.161272,2.750715,0.026751,-0.016641,0.110000,-0.000500,0.110000
1787009832797404392,-20.035220,5.279602,2.751420,0.001702,-0.016641,0.110000,-0.000500,0.110000
1787009832847207066,-19.891720,5.399662,2.751493,0.035317,-0.016641,0.110000,-0.001600,0.110000
1787009832897114812,-19.692930,5.565115,2.751434,0.028117,-0.014024,0.110000,-0.008900,0.110000
1787009832947183454,-19.692930,5.565115,2.751434,0.028117,-0.014024,0.110000,-0.008900,0.110000
1787009832997369956,-19.552800,5.680607,2.751406,0.029323,0.001261,0.110000,-0.008900,0.110000
1787009833047307945,-19.552800,5.680607,2.751406,0.029323,0.001261,0.110000,-0.008900,0.110000
1787009833097268637,-19.269100,5.911756,2.751364,0.023803,0.001261,0.110000,-0.007300,0.110000
1787009833147226314,-19.269100,5.911756,2.751364,0.023803,0.001261,0.110000,-0.007300,0.110000
1787009833197129113,-19.054770,6.084274,2.751329,0.057573,0.021035,0.110000,-0.007300,0.110000
1787009833247237697,-19.054770,6.084274,2.751329,0.057573,0.021035,0.110000,-0.007300,0.110000
1787009833297318206,-18.910810,6.199416,2.751325,0.005590,0.047692,0.110000,0.000500,0.110000
1787009833347193490,-18.769190,6.313056,2.751228,0.002922,0.047692,0.110000,0.011000,0.110000
1787009833397048531,-18.769190,6.313056,2.751228,0.002922,0.056214,0.110000,0.011000,0.110000
1787009833447203799,-18.623830,6.430848,2.751228,0.002386,0.056214,0.110000,0.011000,0.110000
1787009833497301532,-18.475140,6.553210,2.750936,0.015461,0.063605,0.110000,0.025100,0.110000
1787009833547208681,-18.334280,6.672079,2.750862,0.011520,0.063605,0.110000,0.029300,0.110000
1787009833597354936,-18.334280,6.672079,2.750862,0.011520,0.068601,0.110000,0.029300,0.110000
1787009833647255196,-18.184750,6.801959,2.750880,0.009688,0.068601,0.110000,0.029300,0.110000
1787009833697228225,-18.051490,6.921178,2.750731,0.001410,0.071721,0.110000,0.033500,0.110000
1787009833747562526,-18.051490,6.921178,2.750731,0.001410,0.071721,0.110000,0.033500,0.110000
1787009833797173736,-17.908100,7.053771,2.750646,0.027477,0.073686,0.110000,0.037700,0.110000
1787009833847325894,-17.765200,7.190885,2.750578,0.010870,0.073686,0.110000,0.037700,0.110000
1787009833897260340,-17.576910,7.379925,2.750530,0.012740,0.071030,0.110000,0.038700,0.110000
1787009833947401607,-17.576910,7.379925,2.750530,0.012740,0.071030,0.110000,0.038700,0.110000
1787009833997253372,-17.444170,7.519407,2.750551,0.141450,0.069941,0.110000,0.037200,0.110000
1787009834047321024,-17.444170,7.519407,2.750551,0.141450,0.069941,0.110000,0.037200,0.110000
1787009834097195750,-17.315930,7.659314,2.750593,0.017974,0.063264,0.110000,0.037200,0.110000
1787009834147162266,-17.177610,7.816070,2.750595,0.005629,0.063264,0.110000,0.036700,0.110000
1787009834197409327,-17.177610,7.816070,2.750595,0.005629,0.060073,0.110000,0.036700,0.110000
1787009834247262709,-17.037120,7.981856,2.750586,0.009651,0.060073,0.110000,0.036700,0.110000
1787009834297209504,-16.905080,8.143941,2.750708,0.007162,0.054864,0.110000,0.033000,0.110000
1787009834347208355,-16.905080,8.143941,2.750708,0.007162,0.054864,0.110000,0.033000,0.110000
1787009834397250409,-16.789350,8.290900,2.750742,0.000711,0.046106,0.110000,0.031400,0.110000
1787009834447383502,-16.669160,8.448335,2.750793,0.006941,0.046106,0.110000,0.028800,0.110000
1787009834497168515,-16.569150,8.583079,2.750776,0.017543,0.041999,0.110000,0.028800,0.110000
1787009834547207942,-16.569150,8.583079,2.750776,0.017543,0.041999,0.110000,0.028800,0.110000
1787009834597249912,-16.454710,8.741373,2.750881,0.006690,0.034933,0.110000,0.024100,0.110000
1787009834647225456,-16.343720,8.898744,2.750903,0.012986,0.034933,0.110000,0.022000,0.110000
1787009834697097371,-16.235990,9.055036,2.750883,0.012986,0.031575,0.110000,0.022000,0.110000
1787009834747176687,-16.235990,9.055036,2.750883,0.008403,0.031575,0.110000,0.022000,0.110000
1787009834797241876,-16.126770,9.216976,2.750949,0.013398,0.028591,0.110000,0.018300,0.110000
1787009834847313641,-16.017500,9.382188,2.750960,0.005032,0.028591,0.110000,0.016800,0.110000
1787009834897188522,-16.017500,9.382188,2.750960,0.005032,0.023569,0.110000,0.016800,0.110000
1787009834947336400,-15.918570,9.534443,2.750945,0.009213,0.023569,0.110000,0.016800,0.110000
1787009834997375846,-15.814880,9.696729,2.750962,0.035818,0.021060,0.110000,0.015200,0.110000
1787009835047186082,-15.718170,9.850410,2.750988,0.027098,0.021060,0.110000,0.012600,0.110000
1787009835097363124,-15.718170,9.850410,2.750988,0.027098,0.017842,0.110000,0.012600,0.110000
1787009835147254330,-15.628120,9.995272,2.750993,0.012214,0.017842,0.110000,0.011000,0.110000
1787009835197179850,-15.527280,10.159340,2.750982,0.022570,0.016218,0.110000,0.011000,0.110000
1787009835247154754,-15.427270,10.323930,2.750996,0.022521,0.016218,0.110000,0.009400,0.110000
