logger_timestamp_nanoseconds,x_m,y_m,velocity_mps,acceleration_mps2,steering_command,throttle_command,steering_feedback,throttle_feedback
1787009620537352359,-20.872620,4.577365,0.000001,0.017199,0.000000,0.000000,0.000000,0.000000
1787009620587315121,-20.872620,4.577365,0.000001,0.002665,0.000000,0.000000,0.000000,0.000000
1787009620637251156,-20.872620,4.577365,0.000001,0.002665,0.000000,0.120000,0.000000,0.000000
1787009620687320392,-20.872620,4.577365,0.000003,0.006549,0.000000,0.120000,0.000000,0.000000
1787009620737359860,-20.872620,4.577365,0.000003,0.006549,0.000000,0.120000,0.000000,0.000000
1787009620787408425,-20.872620,4.577365,0.000002,0.002249,0.000000,0.120000,0.000000,0.000000
1787009620837230960,-20.863910,4.584680,0.431360,8.015288,-0.000896,0.120000,0.000000,0.120000
1787009620887321150,-20.863910,4.584680,0.431360,8.015288,-0.000896,0.120000,0.000000,0.120000
1787009620937429619,-20.829010,4.613977,0.954868,7.863982,-0.000799,0.120000,0.000000,0.120000
1787009620987391010,-20.756350,4.674963,1.546150,7.681852,-0.000799,0.120000,0.000000,0.120000
1787009621037437453,-20.671810,4.745916,2.019511,7.569320,-0.000803,0.120000,-0.000500,0.120000
1787009621087244937,-20.561170,4.838762,2.499834,7.437080,-0.000803,0.120000,-0.000500,0.120000
1787009621137446254,-20.561170,4.838762,2.499834,7.437080,-0.000811,0.120000,-0.000500,0.120000
1787009621187368330,-20.422570,4.954996,2.914886,2.654315,-0.000811,0.120000,-0.000500,0.120000
1787009621237506124,-20.275040,5.078646,2.987150,0.383457,-0.009324,0.120000,-0.000500,0.120000
1787009621287298732,-20.123560,5.205544,2.998124,0.057274,-0.009324,0.120000,-0.000500,0.120000
1787009621337247191,-20.123560,5.205544,2.998124,0.057274,-0.017650,0.120000,-0.000500,0.120000
1787009621387338170,-19.835990,5.446124,3.000010,0.010203,-0.017650,0.120000,-0.004700,0.120000
1787009621437300816,-19.697570,5.561197,2.999988,0.002790,-0.004648,0.120000,-0.009400,0.120000
1787009621487540631,-19.697570,5.561197,2.999988,0.002790,-0.004648,0.120000,-0.009400,0.120000
1787009621537267364,-19.549420,5.683313,2.999979,0.054995,0.001247,0.120000,-0.009400,0.120000
1787009621587341402,-19.549420,5.683313,2.999979,0.054995,0.001247,0.120000,-0.009400,0.120000
1787009621637356232,-19.407690,5.799072,2.999956,0.009083,0.013247,0.120000,-0.009400,0.120000
1787009621687420236,-19.260900,5.918117,2.999976,0.051126,0.013247,0.120000,-0.002600,0.120000
1787009621737247420,-19.106960,6.042663,2.999939,0.024411,0.029545,0.120000,0.000500,0.120000
1787009621787227677,-18.948520,6.171162,2.999882,0.023559,0.029545,0.120000,0.006800,0.120000
1787009621837655110,-18.948520,6.171162,2.999882,0.023559,0.037494,0.120000,0.006800,0.120000
1787009621887409271,-18.948520,6.171162,2.999882,0.023559,0.037494,0.120000,0.006800,0.120000
1787009621937605136,-18.647000,6.418483,2.999705,0.014562,0.052510,0.120000,0.015700,0.120000
1787009621987584673,-18.647000,6.418483,2.999705,0.014562,0.052510,0.120000,0.015700,0.120000
1787009622037279450,-18.417350,6.611471,2.999596,0.049773,0.065664,0.120000,0.019400,0.120000
1787009622087314976,-18.417350,6.611471,2.999596,0.049773,0.065664,0.120000,0.019400,0.120000
1787009622137602680,-18.267200,6.740509,2.999610,0.033290,0.070171,0.120000,0.019400,0.120000
1787009622187320550,-18.122970,6.867190,2.999336,0.034917,0.070171,0.120000,0.027800,0.120000
1787009622237316131,-18.122970,6.867190,2.999336,0.034917,0.074368,0.120000,0.027800,0.120000
1787009622287313611,-17.807890,7.158121,2.999030,0.003281,0.074368,0.120000,0.036700,0.120000
1787009622337205697,-17.807890,7.158121,2.999030,0.003281,0.073193,0.120000,0.036700,0.120000
1787009622387340569,-17.607280,7.356164,2.998927,0.008072,0.073193,0.120000,0.038700,0.120000
1787009622437349470,-17.607280,7.356164,2.998927,0.008072,0.072020,0.120000,0.038700,0.120000
1787009622487337371,-17.473880,7.494173,2.998924,0.006282,0.072020,0.120000,0.038700,0.120000
1787009622537142794,-17.473880,7.494173,2.998924,0.006282,0.068043,0.120000,0.038200,0.120000
1787009622587798711,-17.324960,7.654647,2.998942,0.021390,0.068043,0.120000,0.038200,0.120000
1787009622637405264,-17.169660,7.829587,2.998963,0.004975,0.061315,0.120000,0.037700,0.120000
1787009622687318562,-17.035540,7.987194,2.999055,0.016098,0.061315,0.120000,0.035600,0.120000
1787009622737260703,-17.035540,7.987194,2.999055,0.016098,0.055538,0.120000,0.035600,0.120000
1787009622787743809,-16.785450,8.297935,2.999171,0.004934,0.055538,0.120000,0.031900,0.120000
1787009622837388822,-16.668790,8.450377,2.999244,0.013135,0.042407,0.120000,0.029300,0.120000
1787009622887327717,-16.668790,8.450377,2.999244,0.013135,0.042407,0.120000,0.029300,0.120000
1787009622937255763,-16.668790,8.450377,2.999244,0.013135,0.042407,0.120000,0.029300,0.120000
1787009622987594400,-16.431720,8.774915,2.999203,0.008886,0.042407,0.120000,0.029300,0.120000
1787009623037336910,-16.320080,8.934762,2.999433,0.026634,0.029847,0.120000,0.022000,0.120000
