logger_timestamp_nanoseconds,x_m,y_m,velocity_mps,acceleration_mps2,steering_command,throttle_command,steering_feedback,throttle_feedback
1787013377535267284,-20.370000,4.340714,0.000003,0.010793,0.000000,0.000000,0.000000,0.000000
1787013377585314188,-20.370000,4.340714,0.000002,0.040834,0.000000,0.000000,0.000000,0.000000
1787013377635427786,-20.370000,4.340714,0.000002,0.040834,0.111006,0.130000,0.000000,0.000000
1787013377685302937,-20.370000,4.340714,0.000001,0.004424,0.111006,0.130000,0.000000,0.000000
1787013377735518349,-20.370000,4.340714,0.000001,0.004424,0.000000,0.130000,0.000000,0.000000
1787013377785408658,-20.370000,4.340714,0.000001,0.017204,0.000000,0.130000,0.000000,0.000000
1787013377835370496,-20.370000,4.340714,0.000001,0.017204,0.000000,0.130000,0.000000,0.000000
1787013377885279324,-20.370070,4.377833,0.772914,7.932389,0.000000,0.130000,0.058100,0.130000
1787013377935315899,-20.370070,4.377833,0.772914,7.932389,-0.031873,0.130000,0.058100,0.130000
1787013377985303236,-20.371090,4.513161,1.645829,7.682492,-0.031873,0.130000,0.000000,0.130000
1787013378035363041,-20.371090,4.513161,1.645829,7.682492,-0.034880,0.130000,0.000000,0.130000
1787013378085314756,-20.372460,4.696463,2.342910,7.467664,-0.034880,0.130000,0.000000,0.130000
1787013378135375854,-20.372460,4.696463,2.342910,7.467664,-0.035269,0.130000,0.000000,0.130000
1787013378185284626,-20.373570,4.928517,3.013049,7.000458,-0.035269,0.130000,-0.016800,0.130000
1787013378235422396,-20.373570,4.928517,3.013049,7.000458,-0.034509,0.130000,-0.016800,0.130000
1787013378285763496,-20.371020,5.232511,3.232209,0.453348,-0.034509,0.130000,-0.018300,0.130000
1787013378335346294,-20.371020,5.232511,3.232209,0.453348,-0.028790,0.130000,-0.018300,0.130000
1787013378385750752,-20.363050,5.576150,3.247298,0.453348,-0.028790,0.130000,-0.018300,0.130000
1787013378435423020,-20.363050,5.576150,3.247298,0.025681,-0.022222,0.130000,-0.018300,0.130000
1787013378485133318,-20.346570,5.981788,3.247298,0.025681,-0.022222,0.130000,-0.018300,0.130000
1787013378535538304,-20.346570,5.981788,3.248143,0.042152,-0.014276,0.130000,-0.018300,0.130000
1787013378585609001,-20.329170,6.289870,3.248194,0.023114,-0.014276,0.130000,-0.015200,0.130000
1787013378635671839,-20.329170,6.289870,3.248194,0.023114,-0.006840,0.130000,-0.015200,0.130000
1787013378685409392,-20.329170,6.289870,3.248194,0.023114,-0.006840,0.130000,-0.015200,0.130000
1787013378735370609,-20.310250,6.571830,3.248222,0.036608,-0.006840,0.130000,-0.011500,0.130000
1787013378785382945,-20.310250,6.571830,3.248222,0.036608,-0.006840,0.130000,-0.011500,0.130000
1787013378835458739,-20.279570,6.976699,3.248214,0.049702,-0.001798,0.130000,-0.007300,0.130000
1787013378885393723,-20.279570,6.976699,3.248214,0.049702,-0.001798,0.130000,-0.007300,0.130000
1787013378935686914,-20.257700,7.245413,3.248205,0.001588,0.005204,0.130000,-0.003700,0.130000
1787013378985434902,-20.257700,7.245413,3.248205,0.001588,0.005204,0.130000,-0.003700,0.130000
1787013379035327359,-20.257700,7.245413,3.248205,0.001588,0.005204,0.130000,-0.003700,0.130000
