s_m,confidence,speed_mps,curvature_1pm,horizon_score,selected_roc
0.125,0.0,0.6433815764375341,2.0,0.016336288455703302,0
0.375,0.877654492855072,2.8924602790797485,0.6490260379049183,0.13684649081222794,0
0.625,0.9039397835731506,3.0679637532172017,0.2684570590436829,0.3533382910627348,0
0.875,0.929717481136322,3.1903503634240513,0.15399368863302249,0.485638990748274,0
1.125,0.9556822776794434,3.1903503634240513,0.10358594757496602,0.5680269601513361,0
1.375,0.9683222472667694,3.2008160709593896,0.07562206607279502,0.617198560611515,0
1.625,0.9809622168540955,3.211281778494728,0.05866118111287636,0.651907422795984,0
1.875,0.9815433025360107,3.211281778494728,0.04696202752365838,0.6725058315440666,0
2.125,0.9817283153533936,3.2534306063041702,0.03798079244438328,0.6854604141619806,0
2.375,0.9818606376647949,3.2534306063041702,0.03126875091780884,0.7018388365725685,0
2.625,0.9819747805595398,3.2534306063041702,0.026887271302926462,0.7091991841200321,0
2.875,0.9820330739021301,3.2722783701881846,0.02405677261608982,0.712389899538544,0
3.125,0.982088565826416,3.2722783701881846,0.022198469216800243,0.7191936514829017,0
3.375,0.9821898341178894,3.2722783701881846,0.02108439215516615,0.7195965847564818,0
3.625,0.9822024703025818,3.2722783701881846,0.020886387262171624,0.7195965847564818,0
3.875,0.9822024703025818,3.2722783701881846,0.020886387262171624,0.7200757798916465,0
4.125,0.9823120832443237,3.2722783701881846,0.020886387262171624,0.7200757798916465,0
4.375,0.9823120832443237,3.2722783701881846,0.020886387262171624,0.7200757798916465,0
4.625,0.9822024703025818,3.2722783701881846,0.020886387262171624,0.7195965847564818,0
4.875,0.9821898341178894,3.2722783701881846,0.021201907522931357,0.7192165416597321,0
5.125,0.9820734858512878,3.2722783701881846,0.02217931552612751,0.7191379882000775,0
5.375,0.9820734858512878,3.2722783701881846,0.0234523976455173,0.7143370993402384,0
5.625,0.9820734858512878,3.25369140433012,0.025074744848548384,0.7137149895205892,0
5.875,0.9820734858512878,3.25369140433012,0.027164406003118712,0.7086554531764271,0
6.125,0.9821266531944275,3.238199074887674,0.029788475933364866,0.7030984810389244,0
6.375,0.9821266531944275,3.238199074887674,0.033100845974859495,0.6959040993159601,0
6.625,0.9822571873664856,3.238199074887674,0.03732804902368831,0.6893294033261006,0
6.875,0.9822763204574585,3.238199074887674,0.04281266294329436,0.6794386498636387,0
7.125,0.982338160276413,3.238199074887674,0.050090468384830535,0.6631063741160653,0
7.375,0.982345700263977,3.238199074887674,0.060033362299021086,0.6475579994860988,0
7.625,0.9823493957519531,3.238199074887674,0.07412654004370159,0.6227202891295619,0
7.875,0.9823505282402039,3.2339688642424265,0.09503432118387664,0.5844477249076058,0
8.125,0.9824457764625549,3.1771550115501355,0.1283445874234465,0.5341237679924309,0
8.375,0.9824521541595459,3.13725383822633,0.19068687181096472,0.45395814605121326,0
8.625,0.9824703931808472,3.0881100841297044,0.29504979175680257,0.34036865964998636,0
8.875,0.9824592620134354,2.9182490595814383,0.48834749433038843,0.21056665888428863,0
9.125,0.9824592620134354,2.802076096216544,0.9451606021923377,0.16049132390971105,0
9.375,0.9824703931808472,2.6657937779533714,1.963641380593231,0.16049132390971105,0
9.625,0.9824703931808472,2.529511459690199,2.0,0.16049132390971105,0
9.875,0.9824703931808472,2.3932291414270264,1.3137332729375233,0.16049132390971105,0
10.125,0.982513040304184,2.2569468231638536,0.6177081009473212,0.16049132390971105,0
10.375,0.9824592620134354,2.2182875061694998,0.37576771470863446,0.2918563017641724,0
10.625,0.9824054837226868,2.0742967347852868,0.27567742426407205,0.3829486979786991,0
10.875,0.9823744297027588,2.0742967347852868,0.23297251870899438,0.43115098586721257,0
11.125,0.9823481440544128,2.0742967347852868,0.19054394565461408,0.48272335711024345,0
11.375,0.9823469519615173,2.0742967347852868,0.13803888679540366,0.5592542558468853,0
11.625,0.9823304414749146,2.0742967347852868,0.08011018045634868,0.5779329533199842,0
11.875,0.982318103313446,2.093834239605538,0.057662772247132565,0.5779329533199842,0
12.125,0.9822705984115601,2.093834239605538,0.057662772247132565,0.5779329533199842,0
12.375,0.982227623462677,2.093834239605538,0.08431647879913244,0.5779329533199842,0
12.625,0.982227623462677,2.093834239605538,0.12632124890331398,0.5779329533199842,0
12.875,0.982227623462677,2.135321330292852,0.1590897547545572,0.5759175325876422,0
13.125,0.9822255969047546,2.1461637108036293,0.16649999225450074,0.5759175325876422,0
13.375,0.9822255969047546,2.1461637108036293,0.16649999225450074,0.5759175325876422,0
13.625,0.9822255969047546,2.230305725048466,0.14938138543087293,0.5759175325876422,0
13.875,0.9822255969047546,2.230305725048466,0.12442239715204967,0.5759175325876422,0
14.125,0.9822255969047546,2.400937060162221,0.10625060304731522,0.5961263113291034,0
14.375,0.9822255969047546,2.400937060162221,0.09289580137646558,0.6204934008215893,0
14.625,0.9822130799293518,2.4167677079259122,0.08292886663409103,0.6357799792723053,0
14.875,0.9820728898048401,2.4167677079259122,0.07557352764668357,0.651094298546965,0
15.125,0.9820728898048401,2.4167677079259122,0.07041914028753639,0.651094298546965,0
15.375,0.9820094108581543,2.4167677079259122,0.06853718770380013,0.651094298546965,0
15.625,0.9819692075252533,2.4167677079259122,0.06853718770380013,0.651094298546965,0
15.875,0.9819692075252533,2.4167677079259122,0.06988904200465619,0.651094298546965,0
16.125,0.9819375872612,2.31826395345294,0.08643009862277508,0.6331822263689241,0
16.375,0.9819692075252533,2.2275361080874374,0.2950866993005906,0.35920047546598544,0
16.625,0.9819375872612,2.190503951516696,0.9049747884383742,0.3559371213014027,0
16.875,0.9819329380989075,2.1538836110302784,1.9545800549567645,0.3559371213014027,0
17.125,0.9819329380989075,2.1538836110302784,1.7124087036751514,0.3559371213014027,0
17.375,0.9819329380989075,2.1250508470138696,0.6765614562357154,0.3559371213014027,0
17.625,0.9818630814552307,2.085876861755186,0.30243368291148937,0.3559371213014027,0
17.875,0.9818582534790039,2.068768685191036,0.1927208843524574,0.479635546773402,0
18.125,0.9815748929977417,2.068768685191036,0.17694300077476216,0.4925909234193255,0
18.375,0.9815748929977417,2.068768685191036,0.17592672285480582,0.4925909234193255,0
18.625,0.9813174605369568,2.0656966981321414,0.17592672285480582,0.4925909234193255,0
18.875,0.9813174605369568,2.0656966981321414,0.1768681706760423,0.4925909234193255,0
19.125,0.9813800752162933,2.0656966981321414,0.18395459622701985,0.4925909234193255,0
19.375,0.9813800752162933,2.0558577557513713,0.1930550126379077,0.4795606168352948,0
19.625,0.9813800752162933,2.0558577557513713,0.20355925539678638,0.4667951710673559,0
19.875,0.9813800752162933,2.0558577557513713,0.21518403098829184,0.451553551595561,0
20.125,0.9815883040428162,2.0558577557513713,0.2275590318555182,0.43732894255045607,0
20.375,0.9818958938121796,2.0558577557513713,0.24018746467246613,0.42222373054744694,0
20.625,0.9818958938121796,2.0558577557513713,0.25246244263732914,0.40894692888593376,0
20.875,0.9819604754447937,2.0558577557513713,0.26382836341212806,0.40021269359514794,0
21.125,0.9819604754447937,2.2270491250107742,0.2643668334132929,0.40021269359514794,0
21.375,0.9819604754447937,2.2270491250107742,0.2643668334132929,0.40021269359514794,0
21.625,0.9819604754447937,2.2270491250107742,0.2643668334132929,0.40021269359514794,0
21.875,0.981996476650238,2.309600566899777,0.2583795690867687,0.40021269359514794,0
22.125,0.9820250272750854,2.326062744250906,0.23605042763953596,0.42452836461042254,0
22.375,0.9819382429122925,2.326062744250906,0.21378789781249655,0.4506479851558067,0
22.625,0.9818548262119293,2.383704778909873,0.19516693435219462,0.4722410083787263,0
22.875,0.9818548262119293,2.4413468135688396,0.1796634881495064,0.49084052019301383,0
23.125,0.9810814261436462,2.4413468135688396,0.16701020960216534,0.5078477997411475,0
23.375,0.9803513884544373,2.5573907864462075,0.156927819772431,0.5182113831960021,0
23.625,0.9803513884544373,2.63885668881269,0.14884599067633728,0.5274929617034027,0
23.875,0.9803513884544373,2.8832573729226243,0.1425418253539889,0.5292131510702422,0
24.125,0.9803513884544373,3.0230010472434636,0.13784255422083325,0.5311609004047569,0
24.375,0.9803513884544373,3.023173009784256,0.1367464693502214,0.5311609004047569,0
24.625,0.9807007908821106,3.0233449723250487,0.1367464693502214,0.5311609004047569,0
24.875,0.9809449315071106,3.1079946214558327,0.1367464693502214,0.5311609004047569,0
25.125,0.9814093708992004,3.1079946214558327,0.1367464693502214,0.5311609004047569,0
25.375,0.9815703630447388,3.1079946214558327,0.1367464693502214,0.5311438894160427,0
25.625,0.9817541837692261,3.1928968862107263,0.1407876049025776,0.5230971890498479,0
