stamp_sec,ego_x_m,ego_y_m,ego_yaw_rad,ego_speed_mps,opponent_x_m,opponent_y_m,tracking_confidence,ego_s_m
1786996098.5347617,-18.6428,6.4244,0.68279801743514,2.8924602790797485,-16.709405068517594,8.462810957656671,0.853704035282135,0.03615301073848685
1786996098.6820111,-18.3914,6.6301,0.6895663965505456,2.8924602790797485,-16.478980401699545,8.791580007271074,0.877654492855072,0.03174552035231486
1786996098.781814,-18.1695,6.8153,0.704719333013004,2.8924602790797485,-16.32300813298866,9.016500719054,0.9039397835731506,0.33445907252119395
1786996098.8810954,-17.9248,7.0288,0.7346245660612581,3.0679637532172017,-16.166941224061194,9.264061881338263,0.929717481136322,0.6696656263793098
1786996098.9635274,-17.701,7.2363,0.7644850607343032,3.1903503634240513,-16.024819848136257,9.490305779898108,0.9556822776794434,0.9773918358801996
1786996099.0570595,-17.5113,7.4231,0.7954545557212043,3.1903503634240513,-15.870785472233477,9.734946276939,0.9809622168540955,1.2428478676166763
1786996099.1370223,-17.3034,7.642,0.8315830715763334,3.211281778494728,-15.727120106896871,9.961613687876907,0.9815433025360107,1.5433401934182303
1786996099.2237935,-17.1288,7.8387,0.8620623816542353,3.211281778494728,-15.583609158121691,10.204484813393393,0.9817283153533936,1.8053246396738343
1786996099.3065848,-16.95,8.0531,0.8929807752317195,3.2534306063041702,-15.439538976153578,10.438358692623417,0.9819747805595398,2.0832139311274123
1786996099.3997133,-16.7836,8.2651,0.920594037873841,3.2534306063041702,-15.280275879451077,10.688784372885978,0.9818606376647949,2.352036775840702
1786996099.4825191,-16.6094,8.4998,0.9470528328704636,3.2722783701881846,-15.140574052631454,10.92474488080703,0.982088565826416,2.643787026846321
1786996099.5727432,-16.4467,8.7307,0.9693368558947797,3.2534306063041702,-14.986908121740823,11.176075836098752,0.9820330739021301,2.9253659203255613
1786996099.6476524,-16.285,8.9703,0.9858641166288323,3.2722783701881846,-14.850518934227262,11.39755428644338,0.9824216961860657,3.2140164061448857
1786996099.7396078,-16.1516,9.1741,0.9988217421885501,3.2722783701881846,-14.702648432443668,11.652953338584645,0.9822024703025818,3.457194101137734
1786996099.8271284,-15.9914,9.4263,1.0118483134484635,3.2722783701881846,-14.556986217159286,11.89876047536578,0.9821898341178894,3.7555593769304108
1786996099.9057255,-15.8459,9.661,1.0210196954866366,3.2722783701881846,-14.425844485323745,12.127396493030249,0.9824247360229492,4.0312946473610225
1786996099.992407,-15.7024,9.8968,1.0281030061471932,3.2722783701881846,-14.284871742897225,12.377203330011453,0.9823522567749023,4.3069386426872605
1786996100.1136234,-15.5638,10.1281,1.0338578373658045,3.2722783701881846,-14.117541502593173,12.689739287503194,0.9813616871833801,4.57623101111571
1786996100.1466799,-15.428,10.3572,1.038013350120942,3.3404959744246714,-14.059840678687335,12.807185705007221,0.9831393957138062,4.842250918233293
1786996100.2596974,-15.2651,10.6345,1.0419154510961561,3.217056184873941,-13.90456806397817,13.134083112118473,0.982068657875061,5.163593860929763
1786996100.3461378,-15.1229,10.8787,1.0454063417921815,3.238199074887674,-13.800271021531136,13.37462064196317,0.9820734858512878,5.445995377527884
1786996100.4358761,-14.9718,11.1402,1.0481230576759757,3.238199074887674,-13.731126008178606,13.602729645781237,0.9819525480270386,5.747889001394392
1786996100.5168748,-14.8375,11.3739,1.0509412286833708,3.3291975619648335,-13.711306334879682,13.787157033661346,0.9821266531944275,6.017384043538808
1786996100.5976028,-14.7088,11.5997,1.054867274600141,3.25369140433012,-13.70323783192355,13.966979854898728,0.9822571873664856,6.277296302874963
1786996100.6786509,-14.5795,11.8288,1.059955887571144,3.25369140433012,-13.736365543489711,14.132482480629337,0.9823505282402039,6.54042266638394
1786996100.7626302,-14.4532,12.0558,1.0673728633153787,3.238199074887674,-13.783012851908214,14.282185643916769,0.9823493957519531,6.800291894783621
1786996100.8499258,-14.3224,12.2953,1.0757648355290648,3.238199074887674,-13.829665467583885,14.367351029490862,0.9822763204574585,7.073319529307488
1786996100.9243858,-14.1898,12.5447,1.0911600023574326,3.238199074887674,-13.909702685076825,14.400227625238625,0.9825935363769531,7.355955653048553
1786996101.0116887,-14.0778,12.7646,1.111819461563992,3.238199074887674,-14.111520343028344,14.441689398545002,0.9824521541595459,7.602955333526745
1786996101.098784,-13.9739,12.9893,1.2060583106845981,3.2339688642424265,-14.333767586877704,14.484935595235399,0.9823734760284424,7.850730374681752
1786996101.1866667,-13.9179,13.1653,1.3206031159365301,3.217056184873941,-14.525050518389097,14.540892049125704,0.9823028445243835,8.034333229858985
1786996101.2712564,-13.8816,13.3529,1.4306488761699623,3.13725383822633,-14.690490117988166,14.62339888570743,0.982345700263977,8.221756695728693
1786996101.354825,-13.8668,13.5242,1.5300776983429225,3.13725383822633,-14.834685279597421,14.73003584100963,0.9823972582817078,8.38854527882268
1786996101.4359634,-13.8691,13.6961,1.6298313596541687,3.0881100841297044,-14.976837966949141,14.838990100068797,0.9824942946434021,8.554146960200908
1786996101.5202346,-13.8883,13.8647,1.729625305628794,3.0881100841297044,-15.125075156389157,14.947354712763227,0.9824703931808472,8.718044686521862
