logger_timestamp_nanoseconds,x_m,y_m,velocity_mps,acceleration_mps2,steering_command,throttle_command,steering_feedback,throttle_feedback
1787014120401657533,-20.369990,4.340719,0.000001,0.004897,0.000000,0.000000,0.000000,0.000000
1787014120451703203,-20.369990,4.340714,0.000001,0.002756,0.110905,0.120000,0.000000,0.000000
1787014120501773266,-20.369990,4.340714,0.000001,0.002756,0.110905,0.120000,0.000000,0.000000
1787014120551808722,-20.369990,4.340714,0.000001,0.002756,0.030895,0.120000,0.000000,0.000000
1787014120601943603,-20.369990,4.342038,0.149889,8.080386,0.030895,0.120000,0.058100,0.120000
1787014120651825829,-20.369990,4.342038,0.149889,8.080386,-0.030897,0.120000,0.058100,0.120000
1787014120701769621,-20.369990,4.342038,0.149889,8.080386,-0.030897,0.120000,0.058100,0.120000
1787014120751684623,-20.370250,4.402472,0.993424,7.852964,-0.033084,0.120000,0.058100,0.120000
1787014120801698304,-20.370250,4.402472,0.993424,7.852964,-0.033084,0.120000,0.058100,0.120000
1787014120851654945,-20.372990,4.579133,1.928229,7.600764,-0.038884,0.120000,0.016200,0.120000
1787014120901962717,-20.372990,4.579133,1.928229,7.600764,-0.038884,0.120000,0.016200,0.120000
1787014120951723011,-20.376870,4.777667,2.591509,8.514766,-0.038884,0.120000,-0.016200,0.120000
1787014121001931616,-20.379070,5.007420,2.961203,1.177478,-0.038884,0.120000,-0.017300,0.120000
1787014121051681195,-20.379070,5.007420,2.961203,1.177478,-0.037146,0.120000,-0.017300,0.120000
1787014121101761413,-20.379070,5.007420,2.961203,1.177478,-0.037146,0.120000,-0.017300,0.120000
1787014121151673745,-20.377910,5.327086,2.998044,0.053316,-0.031507,0.120000,-0.020400,0.120000
1787014121202073250,-20.377910,5.327086,2.998044,0.053316,-0.031507,0.120000,-0.020400,0.120000
1787014121251691735,-20.371780,5.635942,2.999785,0.042517,-0.024257,0.120000,-0.020400,0.120000
1787014121301912646,-20.362690,5.899766,2.999866,0.038887,-0.024257,0.120000,-0.019400,0.120000
1787014121351706062,-20.362690,5.899766,2.999866,0.038887,-0.017586,0.120000,-0.019400,0.120000
1787014121401731254,-20.349850,6.172452,2.999882,0.032863,-0.017586,0.120000,-0.016800,0.120000
1787014121452051228,-20.349850,6.172452,2.999882,0.032863,-0.011766,0.120000,-0.016800,0.120000
1787014121501686804,-20.333340,6.456963,2.999902,0.039966,-0.011766,0.120000,-0.012600,0.120000
1787014121551806939,-20.333340,6.456963,2.999902,0.039966,-0.006669,0.120000,-0.012600,0.120000
1787014121601656404,-20.314440,6.741329,2.999896,0.023769,-0.006669,0.120000,-0.009400,0.120000
1787014121651677377,-20.314440,6.741329,2.999896,0.023769,-0.002693,0.120000,-0.009400,0.120000
1787014121701698402,-20.296480,6.989669,2.999889,0.029106,-0.002693,0.120000,-0.006300,0.120000
1787014121751671374,-20.296480,6.989669,2.999889,0.029106,0.000106,0.120000,-0.006300,0.120000
1787014121801666884,-20.274190,7.282815,2.999859,0.001557,0.000106,0.120000,-0.003700,0.120000
1787014121851714576,-20.274190,7.282815,2.999859,0.001557,0.001925,0.120000,-0.003700,0.120000
1787014121901711705,-20.250070,7.590870,2.999831,0.007552,0.001925,0.120000,-0.001600,0.120000
1787014121951652017,-20.250070,7.590870,2.999831,0.007552,0.003079,0.120000,0.000000,0.120000
1787014122001664973,-20.227620,7.874984,2.999805,0.001187,0.003079,0.120000,0.000000,0.120000
1787014122051976254,-20.227620,7.874984,2.999805,0.001187,0.003503,0.120000,0.000000,0.120000
1787014122101630101,-20.206600,8.141148,2.999778,0.000682,0.003503,0.120000,0.001000,0.120000
1787014122151779436,-20.206600,8.141148,2.999778,0.000682,0.003562,0.120000,0.001000,0.120000
1787014122201723932,-20.183010,8.443194,2.999747,0.016128,0.003562,0.120000,0.001600,0.120000
