logger_timestamp_nanoseconds,x_m,y_m,velocity_mps,acceleration_mps2,steering_command,throttle_command,steering_feedback,throttle_feedback
1787014169636809080,-20.369990,4.340714,0.000002,0.013237,0.000000,0.000000,0.000000,0.000000
1787014169686740014,-20.369990,4.340714,0.000004,0.021385,0.000000,0.000000,0.000000,0.000000
1787014169736672523,-20.369990,4.340714,0.000004,0.021385,0.000000,0.000000,0.000000,0.000000
1787014169786666380,-20.369990,4.340714,0.000001,0.034114,0.110905,0.130000,0.000000,0.000000
1787014169836709119,-20.369990,4.340714,0.000004,0.004324,0.110905,0.130000,0.000000,0.000000
1787014169886731913,-20.369990,4.340714,0.000004,0.004324,-0.000000,0.130000,0.000000,0.000000
1787014169936792315,-20.369990,4.357792,0.526842,7.979790,-0.000000,0.130000,0.058100,0.130000
1787014169986712431,-20.370370,4.414913,1.087393,7.823459,-0.030929,0.130000,0.058100,0.130000
1787014170036606234,-20.371820,4.513151,1.646083,7.677703,-0.030929,0.130000,0.000000,0.130000
1787014170086692404,-20.371820,4.513151,1.646083,7.677703,-0.038355,0.130000,0.000000,0.130000
1787014170136680702,-20.373420,4.631763,2.125143,7.522588,-0.038355,0.130000,-0.016200,0.130000
1787014170186647289,-20.374580,4.782910,2.603617,7.420615,-0.038040,0.130000,-0.016200,0.130000
1787014170236648706,-20.374400,4.974383,3.096135,4.568930,-0.038040,0.130000,-0.019900,0.130000
1787014170286679800,-20.374400,4.974383,3.096135,4.568930,-0.031897,0.130000,-0.019900,0.130000
1787014170336700984,-20.371880,5.177701,3.222832,0.722786,-0.031897,0.130000,-0.019900,0.130000
1787014170386704141,-20.367750,5.365294,3.242903,0.150740,-0.026778,0.130000,-0.019900,0.130000
1787014170436715900,-20.361330,5.569665,3.247296,0.048703,-0.026778,0.130000,-0.016800,0.130000
1787014170486551570,-20.361330,5.569665,3.247296,0.048703,-0.018211,0.130000,-0.014100,0.130000
1787014170536752040,-20.353460,5.767614,3.248111,0.030647,-0.018211,0.130000,-0.014100,0.130000
1787014170586684685,-20.341500,6.017434,3.248231,0.014353,-0.014414,0.130000,-0.014100,0.130000
1787014170636662526,-20.329610,6.231491,3.248298,0.008213,-0.014414,0.130000,-0.009400,0.130000
1787014170686666232,-20.329610,6.231491,3.248298,0.008213,-0.007156,0.130000,-0.009400,0.130000
1787014170736942120,-20.315830,6.458453,3.248286,0.009303,-0.007156,0.130000,-0.007300,0.130000
1787014170786806058,-20.315830,6.458453,3.248286,0.009303,-0.004763,0.130000,-0.007300,0.130000
1787014170836667272,-20.286870,6.892757,3.248250,0.006210,-0.004763,0.130000,-0.003700,0.130000
1787014170886746059,-20.263910,7.216769,3.248206,0.011760,-0.001100,0.130000,-0.002600,0.130000
1787014170936659101,-20.263910,7.216769,3.248206,0.011760,-0.001100,0.130000,-0.002600,0.130000
1787014170986646832,-20.249080,7.420871,3.248183,0.011760,0.000022,0.130000,-0.002600,0.130000
1787014171036674970,-20.249080,7.420871,3.248183,0.008315,0.000022,0.130000,-0.002600,0.130000
1787014171086719690,-20.234500,7.618464,3.248164,0.025518,0.000896,0.130000,-0.000500,0.130000
1787014171136573731,-20.216960,7.854921,3.248139,0.005538,0.000896,0.130000,0.000000,0.130000
1787014171186672393,-20.216960,7.854921,3.248139,0.005538,0.001676,0.130000,0.000000,0.130000
1787014171236689481,-20.198060,8.110846,3.248116,0.006702,0.001676,0.130000,0.000500,0.130000
