logger_timestamp_nanoseconds,x_m,y_m,velocity_mps,acceleration_mps2,steering_command,throttle_command,steering_feedback,throttle_feedback
1787014064244503726,-20.369990,4.340725,0.000007,0.002150,0.000000,0.000000,0.000000,0.000000
1787014064294452590,-20.369990,4.340725,0.000007,0.002150,0.000000,0.000000,0.000000,0.000000
1787014064344753063,-20.369990,4.340725,0.000007,0.003946,0.110905,0.110000,0.000000,0.000000
1787014064394461505,-20.369990,4.340725,0.000007,0.003946,0.110905,0.110000,0.000000,0.000000
1787014064444571634,-20.369990,4.340725,0.000007,0.003946,0.000000,0.110000,0.000000,0.000000
1787014064494435573,-20.369990,4.340725,0.000006,0.020244,0.000000,0.110000,0.000000,0.000000
1787014064544501803,-20.369990,4.340725,0.000006,0.020244,0.000000,0.110000,0.000000,0.000000
1787014064594443861,-20.369990,4.340723,0.000005,0.015432,0.000000,0.110000,0.000000,0.000000
1787014064644481900,-20.369990,4.374122,0.733978,7.938240,0.030895,0.110000,0.000000,0.110000
1787014064694433579,-20.369990,4.374122,0.733978,7.938240,0.030895,0.110000,0.000000,0.110000
1787014064744543256,-20.369990,4.468834,1.422719,7.740941,-0.030961,0.110000,0.000000,0.110000
1787014064794427231,-20.369990,4.468834,1.422719,7.740941,-0.030961,0.110000,0.000000,0.110000
1787014064844786703,-20.369990,4.468834,1.422719,7.740941,-0.031151,0.110000,0.000000,0.110000
1787014064894495588,-20.370450,4.644726,2.170378,7.535063,-0.031151,0.110000,0.016200,0.110000
1787014064944569175,-20.371890,4.898272,2.712933,1.229629,-0.034819,0.110000,-0.016200,0.110000
1787014064994436587,-20.371890,4.898272,2.712933,1.229629,-0.034819,0.110000,-0.016200,0.110000
1787014065044530078,-20.371890,4.898272,2.712933,1.229629,-0.034819,0.110000,-0.016200,0.110000
1787014065094535518,-20.370010,5.218917,2.750285,0.036752,-0.034819,0.110000,-0.016200,0.110000
1787014065144587642,-20.370010,5.218917,2.750285,0.036752,-0.029936,0.110000,-0.016200,0.110000
1787014065194972033,-20.364110,5.532482,2.751384,0.012609,-0.029936,0.110000,-0.016200,0.110000
1787014065244512537,-20.364110,5.532482,2.751384,0.012609,-0.024252,0.110000,-0.016200,0.110000
1787014065294548696,-20.364110,5.532482,2.751384,0.012609,-0.024252,0.110000,-0.016200,0.110000
1787014065344498580,-20.355540,5.804726,2.751349,0.016412,-0.018538,0.110000,-0.018300,0.110000
1787014065394504491,-20.355540,5.804726,2.751349,0.016412,-0.018538,0.110000,-0.018300,0.110000
1787014065444495685,-20.340380,6.142799,2.751337,0.034494,-0.012437,0.110000,-0.015700,0.110000
1787014065494768695,-20.340380,6.142799,2.751337,0.034494,-0.012437,0.110000,-0.015700,0.110000
1787014065544442154,-20.327700,6.370812,2.751342,0.026978,-0.012437,0.110000,-0.012600,0.110000
1787014065594499666,-20.327700,6.370812,2.751342,0.026978,-0.012437,0.110000,-0.012600,0.110000
1787014065644500318,-20.308750,6.670110,2.751318,0.023910,-0.003806,0.110000,-0.009900,0.110000
1787014065694503291,-20.308750,6.670110,2.751318,0.023910,-0.003806,0.110000,-0.009900,0.110000
1787014065744479056,-20.288250,6.963793,2.751306,0.040417,-0.000721,0.110000,-0.006300,0.110000
1787014065794610782,-20.288250,6.963793,2.751306,0.040417,-0.000721,0.110000,-0.006300,0.110000
1787014065844467568,-20.269700,7.213479,2.751276,0.013860,0.001451,0.110000,-0.006300,0.110000
1787014065894641507,-20.269700,7.213479,2.751276,0.013860,0.001451,0.110000,-0.006300,0.110000
1787014065944432772,-20.248700,7.485047,2.751260,0.009103,0.002963,0.110000,-0.002100,0.110000
1787014065994542933,-20.248700,7.485047,2.751260,0.009103,0.002963,0.110000,-0.002100,0.110000
1787014066044480151,-20.226360,7.770297,2.751240,0.026132,0.003516,0.110000,-0.000500,0.110000
1787014066094563597,-20.226360,7.770297,2.751240,0.026132,0.003516,0.110000,-0.000500,0.110000
1787014066144453435,-20.205630,8.033597,2.751209,0.011947,0.003797,0.110000,0.000500,0.110000
1787014066194588334,-20.183790,8.313343,2.751209,0.011947,0.003797,0.110000,0.001600,0.110000
1787014066244453109,-20.183790,8.313343,2.751191,0.001973,0.003566,0.110000,0.001600,0.110000
1787014066294526575,-20.163770,8.573976,2.751165,0.000660,0.003566,0.110000,0.002100,0.110000
1787014066344630691,-20.163770,8.573976,2.751165,0.000660,0.003034,0.110000,0.002100,0.110000
1787014066394484557,-20.144720,8.826381,2.751150,0.023516,0.003034,0.110000,0.002100,0.110000
1787014066444641677,-20.144720,8.826381,2.751150,0.023516,0.002450,0.110000,0.002100,0.110000
1787014066494515750,-20.124400,9.100734,2.751134,0.007109,0.002450,0.110000,0.002100,0.110000
1787014066544543651,-20.124400,9.100734,2.751134,0.007109,0.001823,0.110000,0.002100,0.110000
1787014066594620833,-20.124400,9.100734,2.751134,0.007109,0.001823,0.110000,0.002100,0.110000
1787014066644467527,-20.105450,9.361394,2.751121,0.015927,0.001201,0.110000,0.001600,0.110000
1787014066694534235,-20.105450,9.361394,2.751121,0.015927,0.001201,0.110000,0.001600,0.110000
1787014066744498412,-20.082210,9.685253,2.751105,0.003356,0.000776,0.110000,0.001000,0.110000
1787014066794597907,-20.082210,9.685253,2.751105,0.003356,0.000776,0.110000,0.001000,0.110000
1787014066844455573,-20.062740,9.959712,2.751092,0.012154,0.000395,0.110000,0.001000,0.110000
1787014066894501596,-20.062740,9.959712,2.751092,0.012154,0.000395,0.110000,0.001000,0.110000
1787014066944433780,-20.043990,10.225940,2.751083,0.016845,0.000155,0.110000,0.000500,0.110000
1787014066994485598,-20.025570,10.489420,2.751074,0.004195,0.000155,0.110000,0.000500,0.110000
1787014067044460187,-20.025570,10.489420,2.751074,0.004195,-0.000095,0.110000,0.000500,0.110000
1787014067094561513,-20.008020,10.741930,2.751066,0.002290,-0.000095,0.110000,0.000000,0.110000
1787014067144434815,-20.008020,10.741930,2.751066,0.002290,-0.000298,0.110000,0.000000,0.110000
1787014067194485395,-19.989130,11.013650,2.751057,0.008833,-0.000298,0.110000,0.000000,0.110000
1787014067244454581,-19.989130,11.013650,2.751057,0.008833,-0.000299,0.110000,0.000000,0.110000
1787014067294509402,-19.970060,11.288120,2.751050,0.004457,-0.000299,0.110000,0.000000,0.110000
1787014067344428519,-19.970060,11.288120,2.751050,0.004457,-0.000328,0.110000,0.000000,0.110000
1787014067394641044,-19.970060,11.288120,2.751050,0.004457,-0.000328,0.110000,0.000000,0.110000
