time_sec,s_m,lateral_offset_m,ego_x_m,ego_y_m,ego_heading_rad,evader_x_m,evader_y_m,engagement_radius_m
0.0,66.97957363255517,-0.11834500600603914,-1.1867678638199828,8.175167082036689,1.7311939988281542,-2.411621117248333,10.955853369794774,0.40224370722237535
0.023775567933992842,67.14886533549851,-0.11448833180956669,-1.201577000988829,8.266701568529461,1.7408563094001621,-2.4504887277634104,11.02364040920193,0.40224370722237535
0.05369011252069304,67.31815703844185,-0.11009863091234916,-1.2222042632991885,8.381530312807055,1.7600829928543371,-2.4993922591700937,11.108930592125008,0.40224370722237535
0.08866554881835796,67.48744874138521,-0.1053399844719198,-1.2491916935219853,8.515238146584416,1.7832190253983378,-2.5567940746379056,11.208605829300156,0.40224370722237535
0.12748161113026815,67.65674044432855,-0.10043054931179798,-1.2828732008906227,8.662826292002746,1.8094762570192153,-2.624864196415715,11.318383668475095,0.40224370722237535
0.1691458638482511,67.82603214727189,-0.09562077907671122,-1.3233905826822483,8.820184266638371,1.8371783545243914,-2.69792856048431,11.436215806844444,0.40224370722237535
0.2128949812622449,67.99532385021523,-0.0911672587313998,-1.3705539518949543,8.984157839599696,1.8644986144737625,-2.7809674979781573,11.560667030722716,0.40224370722237535
0.25795881811763943,68.16461555315857,-0.0873067376416336,-1.423655091086574,9.151692812876453,1.8904686765708636,-2.8660835858708165,11.68819862169747,0.40224370722237535
0.3034339233951982,68.33390725610192,-0.08423414162298029,-1.4815092528321177,9.319344090416463,1.9153388269976386,-2.949809602169616,11.814682173166831,0.40224370722237535
0.3484782752046942,68.50319895904526,-0.0820868726673127,-1.5428862318140626,9.483946215440417,1.9399959967074165,-3.0240556813838118,11.94110191566759,0.40224370722237535
0.39266763965629664,68.6724906619886,-0.08093617967743683,-1.6070861983733333,9.64388035888318,1.9649901503512428,-3.0871478082004264,12.066393256272097,0.40224370722237535
0.4361667930527926,68.84178236493194,-0.08078522147628389,-1.6742200604977135,9.799678455091534,1.9899578729994722,-3.1377212338525435,12.1896596858901,0.40224370722237535
