time_sec,elapsed_sec,confidence,visible,avg_speed_mps,ips_x_m,ips_y_m,speed_mps,throttle_command,steering_command
1786466219.441145658,2.599961,0.000000,0,2.657496,-15.997600,9.415300,3.085002,0.130000,0.023558
1786466219.491005182,2.649821,0.000000,0,2.700638,-15.864600,9.623200,3.252727,0.130000,0.020382
1786466219.540974140,2.699790,0.000000,0,2.739676,-15.736900,9.826800,3.495924,0.130000,0.020382
1786466219.591154099,2.749969,0.000000,0,2.689678,-15.736900,9.826800,3.495924,0.130000,0.016360
1786466219.641056538,2.799872,0.000000,0,2.721775,-15.619200,10.017500,3.254833,0.130000,0.016360
1786466219.691012383,2.849828,0.000000,0,2.752718,-15.502600,10.208900,3.126133,0.130000,0.014044
1786466219.741050959,2.899866,0.000000,0,2.705218,-15.502600,10.208900,3.126133,0.130000,0.014044
1786466219.791110039,2.949925,0.000000,0,2.739668,-15.380400,10.412100,3.508136,0.130000,0.013054
1786466219.841003418,2.999819,0.000000,0,2.767739,-15.267500,10.601900,2.975648,0.130000,0.013054
1786466219.891004801,3.049820,0.000000,0,2.797982,-15.150400,10.800600,3.359616,0.130000,0.013420
1786466219.941141605,3.099957,0.000000,0,2.752728,-15.150400,10.800600,3.359616,0.130000,0.013420
1786466219.991000175,3.149816,0.000000,0,2.783418,-15.032500,11.002600,3.378639,0.130000,0.014607
1786466220.041020870,3.199836,0.000000,0,2.807909,-14.923600,11.191000,2.991237,0.130000,0.014607
1786466220.091088057,3.249903,0.000000,0,2.764654,-14.923600,11.191000,2.991237,0.130000,0.021486
1786466220.141022682,3.299838,0.000000,0,2.794668,-14.805700,11.396700,3.202401,0.130000,0.021486
1786466220.191010714,3.349826,0.000000,0,2.825687,-14.685700,11.608700,3.357139,0.130000,0.025295
1786466220.241036415,3.399852,0.000000,0,2.784108,-14.685700,11.608700,3.357139,0.130000,0.025295
1786466220.291041851,3.449857,0.000000,0,2.808694,-14.576200,11.804200,3.234628,0.130000,0.040029
1786466220.341135979,3.499951,0.000000,0,2.836264,-14.461700,12.011900,3.188709,0.130000,0.040029
1786466220.390982628,3.549798,0.000000,0,2.863225,-14.348900,12.220400,3.456463,0.130000,0.059856
1786466220.441048384,3.599864,0.000000,0,2.823401,-14.348900,12.220400,3.456463,0.130000,0.059856
1786466220.491097689,3.649913,0.000000,0,2.846062,-14.244000,12.418400,3.293248,0.130000,0.105033
1786466220.541027784,3.699843,0.000000,0,2.868231,-14.141800,12.617800,3.104029,0.130000,0.105033
1786466220.591034412,3.749850,0.000000,0,2.829976,-14.141800,12.617800,3.104029,0.084500,0.428220
1786466220.641114950,3.799930,0.000000,0,2.851602,-14.043900,12.819200,3.182096,0.084500,0.428220
1786466220.691017866,3.849833,0.000000,0,2.874515,-13.949600,13.029500,3.311356,0.084500,0.420122
1786466220.741026402,3.899842,0.000000,0,2.889481,-13.874400,13.217100,8.503675,0.084500,0.420122
1786466220.791089535,3.949905,0.000000,0,2.852844,-13.874400,13.217100,8.503675,0.084500,0.407989
1786466220.841194391,4.000010,0.000000,0,2.892750,-13.803800,13.510900,5.872885,0.084500,0.407989
1786466220.891064167,4.049880,0.000000,0,2.857143,-13.803800,13.510900,5.872885,0.084500,0.423702
1786466220.940978527,4.099794,0.000000,0,2.855752,-13.790100,13.647100,1.277947,0.084500,0.423702
1786466220.991090298,4.149906,0.000000,0,2.854737,-13.786900,13.786000,5.675169,0.084500,0.428424
1786466221.041076183,4.199892,0.000000,0,2.820769,-13.786900,13.786000,5.675169,0.084500,0.428424
1786466221.091139078,4.249954,0.000000,0,2.818246,-13.794000,13.916300,1.171756,0.084500,0.432131
1786466221.141055346,4.299871,0.000000,0,2.818759,-13.813100,14.057900,5.273416,0.084500,0.432131
1786466221.191105604,4.349921,0.000000,0,2.786325,-13.813100,14.057900,5.273416,0.084500,0.438718
1786466221.241007805,4.399823,0.000000,0,2.788121,-13.845200,14.201300,1.321088,0.084500,0.438718
1786466221.291089296,4.449905,0.000000,0,2.787889,-13.886900,14.333500,1.980185,0.084500,0.441625
1786466221.341207504,4.500023,0.000000,0,2.756846,-13.886900,14.333500,1.980185,0.084500,0.441625
1786466221.391099215,4.549915,0.000000,0,2.790710,-14.009700,14.597700,5.012401,0.084500,0.445741
1786466221.441126347,4.599942,0.000000,0,2.760349,-14.009700,14.597700,5.012401,0.084500,0.445741
1786466221.491052628,4.649868,0.000000,0,2.758284,-14.078100,14.706100,1.236225,0.084500,0.447016
1786466221.541067362,4.699883,0.000000,0,2.758392,-14.161400,14.816700,5.608728,0.084500,0.447016
1786466221.591093779,4.749909,0.000000,0,2.729344,-14.161400,14.816700,5.608728,0.084500,0.447386
1786466221.641061068,4.799876,0.000000,0,2.758644,-14.354800,15.014700,5.971771,0.084500,0.447386
1786466221.691012621,4.849828,0.000000,0,2.730235,-14.354800,15.014700,5.971771,0.084500,0.445300
1786466221.740896940,4.899712,0.000000,0,2.729010,-14.456700,15.095700,1.224417,0.084500,0.445300
1786466221.791044712,4.949860,0.000000,0,2.701357,-14.456700,15.095700,1.224417,0.084500,0.443238
1786466221.841029644,4.999845,0.000000,0,2.702038,-14.571900,15.172500,2.108140,0.084500,0.443238
1786466221.890987158,5.049803,0.000000,0,2.701523,-14.687700,15.236600,1.956168,0.084500,0.440702
1786466221.941069365,5.099885,0.000000,0,2.674992,-14.687700,15.236600,1.956168,0.084500,0.440702
1786466221.991131306,5.149947,0.000000,0,2.676277,-14.816000,15.294000,2.003982,0.084500,0.433740
1786466222.041001797,5.199817,0.000000,0,2.678463,-14.952800,15.341500,2.162252,0.084500,0.433740
1786466222.091012239,5.249828,0.000000,0,2.679742,-15.089200,15.375900,1.957594,0.084500,0.429348
1786466222.141040087,5.299855,0.000000,0,2.654448,-15.089200,15.375900,1.957594,0.084500,0.429348
1786466222.191306829,5.350122,0.000000,0,2.656958,-15.234200,15.399300,2.044731,0.084500,0.418507
1786466222.240991592,5.399807,0.000000,0,2.659736,-15.380800,15.410000,2.107172,0.084500,0.418507
1786466222.291364908,5.450180,0.000000,0,2.635125,-15.380800,15.410000,2.107172,0.084500,0.412350
1786466222.341186762,5.500002,0.000000,0,2.638028,-15.527900,15.408000,2.126057,0.084500,0.412350
1786466222.391025066,5.549840,0.000000,0,2.639722,-15.668100,15.394300,1.943285,0.084500,0.405779
1786466222.441036701,5.599852,0.000000,0,2.643174,-15.817000,15.367200,5.826820,0.084500,0.405779
1786466222.491225481,5.650041,0.000000,0,2.619693,-15.817000,15.367200,5.826820,0.084500,0.387054
1786466222.541013002,5.699828,0.000000,0,2.620826,-15.949200,15.331700,1.179359,0.084500,0.387054
1786466222.591140270,5.749956,0.000000,0,2.624681,-16.093800,15.280100,2.104270,0.084500,0.372115
1786466222.641142845,5.799958,0.000000,0,2.602050,-16.093800,15.280100,2.104270,0.084500,0.372115
1786466222.691029310,5.849845,0.000000,0,2.606845,-16.237400,15.214600,2.052608,0.084500,0.356422
1786466222.741079092,5.899894,0.000000,0,2.611165,-16.373500,15.138400,2.140974,0.084500,0.356422
1786466222.791161060,5.949976,0.000000,0,2.589174,-16.373500,15.138400,2.140974,0.084500,0.305149
1786466222.841073990,5.999889,0.000000,0,2.593321,-16.501700,15.053000,2.230440,0.084500,0.305149
1786466222.891124010,6.049939,0.000000,0,2.595956,-16.616700,14.963500,2.172494,0.084500,0.280354
1786466222.941008568,6.099824,0.000000,0,2.596976,-16.718200,14.873400,1.981517,0.084500,0.280354
1786466222.991037130,6.149853,0.000000,0,2.575847,-16.718200,14.873400,1.981517,0.084500,0.211209
1786466223.041034698,6.199850,0.000000,0,2.578671,-16.822000,14.770300,2.103258,0.084500,0.211209
1786466223.091164589,6.249980,0.000000,0,2.581074,-16.918500,14.663000,1.946252,0.130000,0.169492
1786466223.141021729,6.299837,0.000000,0,2.560656,-16.918500,14.663000,1.946252,0.130000,0.169492
1786466223.191087008,6.349902,0.000000,0,2.564239,-17.013800,14.545900,2.237710,0.130000,0.092541
1786466223.241008282,6.399824,0.000000,0,2.570740,-17.115800,14.410400,2.365742,0.130000,0.092541
1786466223.291206598,6.450022,0.000000,0,2.581639,-17.228100,14.245700,2.966870,0.130000,0.050847
1786466223.341135263,6.499951,0.000000,0,2.561806,-17.228100,14.245700,2.966870,0.130000,0.050847
1786466223.391055107,6.549870,0.000000,0,2.575343,-17.341600,14.061300,3.043298,0.130000,-0.009648
1786466223.440978289,6.599794,0.000000,0,2.591192,-17.458900,13.859800,3.258112,0.130000,-0.009648
1786466223.491048813,6.649864,0.000000,0,2.571679,-17.458900,13.859800,3.258112,0.130000,-0.108473
1786466223.541016579,6.699832,0.000000,0,2.586915,-17.572600,13.659200,3.181770,0.130000,-0.108473
1786466223.591036320,6.749852,0.000000,0,2.601896,-17.686700,13.458900,3.255561,0.130000,-0.148730
