time_sec,elapsed_sec,confidence,visible,avg_speed_mps,ips_x_m,ips_y_m,speed_mps,throttle_command,steering_command
1786465700.257201433,0.000000,0.000000,0,0.000000,-20.872600,4.577400,0.000000,0.000000,0.000000
1786465700.306713820,0.049512,0.000000,0,0.000000,-20.872600,4.577400,0.000000,0.000000,0.000000
1786465700.356854677,0.099653,0.000000,0,0.000000,-20.872600,4.577400,0.000000,0.000000,0.000000
1786465700.406622171,0.149421,0.000000,0,0.000000,-20.872600,4.577400,0.000000,0.000000,0.000000
1786465700.456885338,0.199684,0.000000,0,0.000000,-20.872600,4.577400,0.000000,0.130000,0.000000
1786465700.507087231,0.249886,0.000000,0,0.000000,-20.872600,4.577400,0.000000,0.130000,0.000000
1786465700.556809187,0.299608,0.000000,0,0.000000,-20.872600,4.577400,0.000000,0.130000,0.000000
1786465700.606619596,0.349418,0.000000,0,0.048952,-20.859500,4.588400,0.258102,0.130000,0.000000
1786465700.656629562,0.399428,0.000000,0,0.175201,-20.819000,4.622400,0.731498,0.130000,-0.000858
1786465700.706648588,0.449447,0.000000,0,0.155705,-20.819000,4.622400,0.731498,0.130000,-0.000858
1786465700.756590605,0.499389,0.000000,0,0.325900,-20.747900,4.682000,1.347913,0.130000,-0.000481
1786465700.806882381,0.549681,0.000000,0,0.296070,-20.747900,4.682000,1.347913,0.130000,-0.000481
1786465700.856621981,0.599421,0.000000,0,0.772864,-20.517700,4.875200,5.734203,0.130000,-0.000968
1786465700.906756401,0.649555,0.000000,0,0.713194,-20.517700,4.875200,5.734203,0.130000,-0.000968
1786465700.956579924,0.699378,0.000000,0,0.662411,-20.517700,4.875200,5.734203,0.130000,-0.000727
1786465701.006723881,0.749522,0.000000,0,1.001034,-20.297800,5.059700,2.178132,0.130000,-0.000727
1786465701.057188034,0.799987,0.000000,0,0.937850,-20.297800,5.059700,2.178132,0.130000,-0.004556
1786465701.106600761,0.849399,0.000000,0,1.263669,-20.050200,5.267200,3.111543,0.130000,-0.004556
1786465701.156600952,0.899400,0.000000,0,1.446123,-19.876000,5.413200,8.042685,0.130000,-0.014607
1786465701.206685066,0.949484,0.000000,0,1.369846,-19.876000,5.413200,8.042685,0.130000,-0.014607
1786465701.256593466,0.999392,0.000000,0,1.610143,-19.639300,5.611100,2.768721,0.130000,-0.014607
1786465701.306572676,1.049371,0.000000,0,1.762570,-19.454600,5.765000,3.273099,0.130000,-0.014607
1786465701.356602430,1.099401,0.000000,0,1.682359,-19.454600,5.765000,3.273099,0.130000,0.002831
1786465701.406681538,1.149480,0.000000,0,1.820944,-19.267100,5.920500,3.518497,0.130000,0.002831
1786465701.456774950,1.199574,0.000000,0,1.934484,-19.091400,6.064900,3.218916,0.130000,0.015069
1786465701.506683350,1.249482,0.000000,0,1.857208,-19.091400,6.064900,3.218916,0.130000,0.015069
1786465701.556676865,1.299475,0.000000,0,1.955718,-18.920400,6.204600,3.237475,0.130000,0.040871
1786465701.606612682,1.349411,0.000000,0,2.051840,-18.744500,6.348700,3.213985,0.130000,0.040871
1786465701.656586170,1.399385,0.000000,0,2.143388,-18.566700,6.495600,3.203017,0.130000,0.050055
1786465701.706732988,1.449532,0.000000,0,2.069213,-18.566700,6.495600,3.203017,0.130000,0.050055
1786465701.756587267,1.499386,0.000000,0,2.154252,-18.389900,6.643700,3.291428,0.130000,0.066187
1786465701.806578875,1.549377,0.000000,0,2.233537,-18.215100,6.794000,3.199293,0.130000,0.066187
1786465701.856606245,1.599405,0.000000,0,2.163675,-18.215100,6.794000,3.199293,0.130000,0.070838
1786465701.906665087,1.649464,0.000000,0,2.241711,-18.038000,6.951600,3.441123,0.130000,0.070838
1786465701.956880331,1.699679,0.000000,0,2.175481,-18.038000,6.951600,3.441123,0.130000,0.073339
1786465702.006628990,1.749428,0.000000,0,2.239876,-17.876000,7.101700,2.015701,0.130000,0.073339
1786465702.056622267,1.799421,0.000000,0,2.313001,-17.700800,7.270900,7.009631,0.130000,0.072979
1786465702.106638908,1.849437,0.000000,0,2.250449,-17.700800,7.270900,7.009631,0.130000,0.072979
1786465702.156595707,1.899394,0.000000,0,2.362186,-17.473500,7.502700,3.036847,0.130000,0.070592
1786465702.206588507,1.949387,0.000000,0,2.423205,-17.312300,7.676500,3.208425,0.130000,0.070592
1786465702.257103920,1.999902,0.000000,0,2.361928,-17.312300,7.676500,3.208425,0.130000,0.064833
