segment_id,world_x_m,world_y_m
0,-1.6157710000005387,1.7168979999999996
0,-1.5757710000005396,1.7568979999999996
0,-1.5357710000005405,1.7968979999999997
0,-1.4957710000005413,1.8368979999999995
0,-1.4557710000005422,1.8768979999999995
0,-1.415771000000543,1.9168979999999995
0,-1.415771000000543,1.9968979999999994
0,-1.3757710000005439,2.036897999999999
0,-1.3357710000005447,2.076897999999999
0,-1.2957710000005456,2.116897999999999
0,-1.2557710000005464,2.156897999999999
0,-1.2157710000005473,2.196897999999999
0,-1.1757710000005481,2.236897999999999
0,-1.135771000000549,2.276897999999999
0,-1.0957710000005498,2.3168979999999992
0,-1.0957710000005498,2.3968979999999993
0,-1.0557710000005507,2.4368979999999993
0,-1.0157710000005515,2.4768979999999994
0,-0.9757710000005524,2.5168979999999994
0,-0.9357710000005532,2.5568979999999994
0,-0.8957710000005541,2.5968979999999995
0,-0.855771000000555,2.636897999999999
0,-0.8157710000005558,2.6768979999999987
0,-0.7757710000005567,2.7168979999999987
0,-0.7757710000005567,2.7968979999999988
0,-0.7357710000005575,2.836897999999999
0,-0.6957710000005584,2.876897999999999
0,-0.6557710000005592,2.916897999999999
0,-0.6157710000005601,2.956897999999999
0,-0.5757710000005609,2.996897999999999
0,-0.5357710000005618,3.036897999999999
0,-0.4957710000005626,3.076897999999999
0,-0.4557710000005635,3.116897999999999
0,-0.4557710000005635,3.196897999999999
0,-0.41577100000056433,3.2368979999999987
0,-0.3757710000005652,3.2768979999999983
0,-0.33577100000056603,3.3168979999999983
0,-0.2957710000005669,3.3568979999999984
0,-0.2957710000005669,3.4368979999999985
0,-0.2957710000005669,3.5168979999999985
0,-0.25577100000056774,3.5568979999999986
0,-0.2157710000005686,3.5968979999999986
0,-0.2157710000005686,3.6768979999999987
0,-0.2157710000005686,3.7568979999999987
0,-0.2157710000005686,3.836897999999999
0,-0.17577100000056944,3.8768979999999984
0,-0.1357710000005703,3.916897999999998
0,-0.1357710000005703,3.996897999999998
0,-0.1357710000005703,4.076897999999998
0,-0.1357710000005703,4.156897999999998
0,-0.1357710000005703,4.236897999999998
0,-0.09577100000057115,4.276897999999998
0,-0.055771000000572,4.316897999999998
0,-0.055771000000572,4.396897999999998
0,-0.055771000000572,4.4768979999999985
0,-0.055771000000572,4.556897999999998
0,-0.055771000000572,4.636897999999998
0,-0.055771000000572,4.716897999999998
0,-0.055771000000572,4.796897999999998
0,-0.055771000000572,4.876897999999998
0,-0.055771000000572,4.956897999999998
0,-0.055771000000572,5.036897999999998
0,-0.055771000000572,5.116897999999997
0,-0.055771000000572,5.196897999999997
0,-0.055771000000572,5.276897999999997
0,-0.055771000000572,5.3568979999999975
0,-0.055771000000572,5.436897999999998
0,-0.055771000000572,5.516897999999998
0,-0.055771000000572,5.596897999999998
0,-0.055771000000572,5.676897999999997
0,-0.055771000000572,5.756897999999997
0,-0.055771000000572,5.836897999999997
0,-0.055771000000572,5.916897999999997
0,-0.055771000000572,5.996897999999997
0,-0.055771000000572,6.076897999999997
0,-0.055771000000572,6.156897999999997
0,-0.055771000000572,6.236897999999997
0,-0.055771000000572,6.3168979999999975
0,-0.055771000000572,6.396897999999997
0,-0.055771000000572,6.476897999999997
0,-0.055771000000572,6.556897999999997
0,-0.055771000000572,6.636897999999997
0,-0.055771000000572,6.716897999999997
0,-0.055771000000572,6.796897999999997
0,-0.055771000000572,6.876897999999997
0,-0.055771000000572,6.956897999999996
0,-0.055771000000572,7.036897999999996
0,-0.055771000000572,7.116897999999996
0,-0.055771000000572,7.1968979999999965
0,-0.055771000000572,7.2768979999999965
0,-0.055771000000572,7.356897999999997
0,-0.015771000000572855,7.396897999999997
0,0.024228999999426293,7.436897999999997
0,0.024228999999426293,7.516897999999997
0,0.024228999999426293,7.596897999999997
0,0.024228999999426293,7.676897999999996
0,0.024228999999426293,7.756897999999996
0,0.024228999999426293,7.836897999999996
0,0.024228999999426293,7.916897999999996
0,0.024228999999426293,7.996897999999996
0,0.024228999999426293,8.076897999999996
0,0.024228999999426293,8.156897999999996
0,0.024228999999426293,8.236897999999997
0,0.024228999999426293,8.316897999999997
0,0.024228999999426293,8.396897999999997
0,-0.015771000000572855,8.436897999999996
0,-0.055771000000572,8.476897999999997
0,-0.055771000000572,8.556897999999997
0,-0.055771000000572,8.636897999999997
0,-0.055771000000572,8.716897999999997
0,-0.055771000000572,8.796897999999997
0,-0.055771000000572,8.876897999999997
0,-0.055771000000572,8.956897999999997
0,-0.055771000000572,9.036897999999997
0,-0.09577100000057115,9.076897999999996
0,-0.1357710000005703,9.116897999999997
0,-0.1357710000005703,9.196897999999997
0,-0.1357710000005703,9.276897999999996
0,-0.1357710000005703,9.356897999999996
0,-0.1357710000005703,9.436897999999996
0,-0.1357710000005703,9.516897999999996
0,-0.1357710000005703,9.596897999999996
0,-0.1357710000005703,9.676897999999996
0,-0.1357710000005703,9.756897999999996
0,-0.1357710000005703,9.836897999999996
0,-0.1357710000005703,9.916897999999996
0,-0.1357710000005703,9.996897999999996
0,-0.1357710000005703,10.076897999999996
0,-0.1357710000005703,10.156897999999996
0,-0.1357710000005703,10.236897999999997
0,-0.1357710000005703,10.316897999999997
0,-0.1357710000005703,10.396897999999997
0,-0.1357710000005703,10.476897999999995
0,-0.1357710000005703,10.556897999999995
0,-0.1357710000005703,10.636897999999995
0,-0.1357710000005703,10.716897999999995
0,-0.1357710000005703,10.796897999999995
0,-0.1357710000005703,10.876897999999995
0,-0.1357710000005703,10.956897999999995
0,-0.1357710000005703,11.036897999999995
0,-0.17577100000056944,11.076897999999996
0,-0.2157710000005686,11.116897999999996
0,-0.17577100000056944,11.156897999999995
0,-0.1357710000005703,11.196897999999996
0,-0.17577100000056944,11.236897999999997
0,-0.2157710000005686,11.276897999999996
0,-0.2157710000005686,11.356897999999996
0,-0.2157710000005686,11.436897999999996
0,-0.2157710000005686,11.516897999999996
0,-0.2157710000005686,11.596897999999996
0,-0.25577100000056774,11.636897999999995
0,-0.2957710000005669,11.676897999999996
0,-0.2957710000005669,11.756897999999996
0,-0.2957710000005669,11.836897999999994
0,-0.33577100000056603,11.876897999999994
0,-0.3757710000005652,11.916897999999994
0,-0.41577100000056433,11.956897999999995
0,-0.4557710000005635,11.996897999999995
0,-0.4557710000005635,12.076897999999995
0,-0.4957710000005626,12.116897999999996
0,-0.5357710000005618,12.156897999999995
0,-0.5757710000005609,12.196897999999994
0,-0.6157710000005601,12.236897999999995
0,-0.6157710000005601,12.316897999999995
0,-0.6557710000005592,12.356897999999994
0,-0.6957710000005584,12.396897999999995
0,-0.7357710000005575,12.436897999999996
0,-0.7757710000005567,12.476897999999995
0,-0.7757710000005567,12.556897999999995
0,-0.8157710000005558,12.596897999999996
0,-0.855771000000555,12.636897999999995
0,-0.8957710000005541,12.676897999999994
0,-0.9357710000005532,12.716897999999995
0,-0.9757710000005524,12.756897999999996
0,-1.0157710000005515,12.796897999999995
0,-1.0557710000005507,12.836897999999994
0,-1.0957710000005498,12.876897999999995
0,-1.0957710000005498,12.956897999999995
0,-1.135771000000549,12.996897999999995
0,-1.1757710000005481,13.036897999999994
0,-1.2157710000005473,13.076897999999993
0,-1.2957710000005456,13.076897999999993
0,-1.3357710000005447,13.116897999999994
0,-1.3757710000005439,13.156897999999995
0,-1.4557710000005422,13.156897999999995
0,-1.4957710000005413,13.196897999999994
0,-1.5357710000005405,13.236897999999993
0,-1.5757710000005396,13.276897999999994
0,-1.6157710000005387,13.316897999999995
0,-1.695771000000537,13.316897999999995
0,-1.7357710000005362,13.356897999999994
0,-1.7757710000005353,13.396897999999993
0,-1.8557710000005336,13.396897999999993
0,-1.8957710000005328,13.436897999999994
0,-1.935771000000532,13.476897999999995
0,-2.01577100000053,13.476897999999995
0,-2.0957710000005285,13.476897999999995
0,-2.1357710000005277,13.516897999999994
0,-2.175771000000527,13.556897999999993
0,-2.255771000000525,13.556897999999993
0,-2.2957710000005243,13.516897999999994
0,-2.3357710000005234,13.476897999999995
0,-2.3757710000005225,13.516897999999994
0,-2.3757710000005225,13.596897999999994
0,-2.3757710000005225,13.676897999999994
0,-2.4157710000005217,13.716897999999993
0,-2.455771000000521,13.756897999999994
0,-2.455771000000521,13.836897999999994
0,-2.455771000000521,13.916897999999994
0,-2.49577100000052,13.956897999999995
0,-2.535771000000519,13.996897999999995
0,-2.535771000000519,14.076897999999995
0,-2.535771000000519,14.156897999999995
0,-2.5757710000005183,14.196897999999994
0,-2.6157710000005174,14.236897999999995
0,-2.6157710000005174,14.316897999999995
0,-2.6157710000005174,14.396897999999993
0,-2.6557710000005166,14.436897999999992
0,-2.6957710000005157,14.476897999999993
0,-2.6957710000005157,14.556897999999993
0,-2.6957710000005157,14.636897999999993
0,-2.6957710000005157,14.716897999999993
0,-2.735771000000515,14.756897999999993
0,-2.775771000000514,14.796897999999993
0,-2.775771000000514,14.876897999999994
0,-2.775771000000514,14.956897999999994
0,-2.815771000000513,14.996897999999995
0,-2.8557710000005123,15.036897999999994
0,-2.8557710000005123,15.116897999999994
0,-2.8957710000005115,15.156897999999995
0,-2.9357710000005106,15.196897999999994
0,-2.9357710000005106,15.276897999999994
0,-2.9357710000005106,15.356897999999994
0,-2.9757710000005098,15.396897999999993
0,-3.015771000000509,15.436897999999994
0,-3.015771000000509,15.516897999999994
0,-3.015771000000509,15.596897999999992
0,-3.055771000000508,15.636897999999992
0,-3.095771000000507,15.676897999999992
0,-3.095771000000507,15.756897999999993
0,-3.095771000000507,15.836897999999993
0,-3.095771000000507,15.916897999999993
0,-3.095771000000507,15.996897999999993
0,-3.095771000000507,16.076897999999993
0,-3.1357710000005063,16.116897999999992
0,-3.1757710000005055,16.15689799999999
0,-3.1357710000005063,16.19689799999999
0,-3.095771000000507,16.236897999999993
0,-3.095771000000507,16.31689799999999
0,-3.095771000000507,16.396897999999993
0,-3.095771000000507,16.47689799999999
0,-3.095771000000507,16.556897999999993
0,-3.095771000000507,16.63689799999999
0,-3.1357710000005063,16.676897999999994
