s_m,lateral_offset_m,world_x_m,world_y_m,overtake_side
62.49636919887929,0.21387832002017734,-2.42,3.7808,right
62.69858574907177,-0.4169504553564982,-1.7588717489982293,3.867678593443061,right
62.90080229926424,-0.5928744130558063,-1.5367537141100331,4.049325431240402,right
63.103018849456724,-0.780419879995943,-1.312631049610956,4.169358986564345,right
63.3052353996492,-0.9089462309619212,-1.1377260594194687,4.31930257094479,right
63.50745194984167,-1.0204079768808025,-0.9683121830392741,4.498559041444883,right
63.70966850003415,-1.1058624093012888,-0.8513973907229702,4.589182247207662,right
63.91188505022662,-1.1285922815073557,-0.7531429070852245,4.832346659342935,right
64.1141016004191,-1.1290221139765333,-0.7121301686695425,4.965751125818929,right
64.31631815061158,-1.1326424956526544,-0.6246499908038701,5.247320569748635,right
64.51853470080405,-1.1346358999414379,-0.5800663700705673,5.3952620025027676,right
64.72075125099653,-1.135758988417881,-0.5363688624470035,5.547894410029733,right
64.922967801189,-1.1144090657274006,-0.473524211526678,5.8712007801151,right
65.12518435138148,-1.0788389597240253,-0.46803475516317383,6.0437782398732,right
65.32740090157395,-1.0395528671937782,-0.46796738479262556,6.21964659165554,right
65.52961745176643,-0.9811179095708236,-0.45502746407472816,6.5736462753526315,right
65.7318340019589,-0.9100729889880304,-0.49406662300222715,6.759977292783881,right
65.93405055215138,-0.8422069982271176,-0.5335450280739451,6.945558522125014,right
66.13626710234387,-0.7959678845214608,-0.5554743538016411,7.127991728995714,right
66.33848365253634,-0.7343157329139183,-0.5815007156698787,7.489999410507233,right
66.54070020272881,-0.6880766192082615,-0.6170554074837133,7.671449470503618,right
66.74291675292129,-0.6264244676007189,-0.6733139672820393,7.851421435570842,right
66.94513330311376,-0.5493592780912907,-0.756776788030899,8.204848346883823,right
67.14734985330624,-0.5185332022875195,-0.8000602755041809,8.378763719934618,right
67.34956640349871,-0.4722940885818626,-0.8649640141045992,8.546697646646297,right
67.55178295369119,-0.44168115120296314,-0.9202930623996413,8.711736966348075,right
67.75399950388366,-0.4145109519881759,-1.013694845861664,9.036516980344912,right
67.95621605407614,-0.39863830671524225,-1.0698928665152683,9.19301420565043,right
68.15843260426861,-0.3880748669433737,-1.1252707159869089,9.347386288836205,right
68.3606491544611,-0.3960928495692351,-1.2200920795006398,9.6558175920408,right
68.56286570465357,-0.4002441684402269,-1.272624818000553,9.805592196838179,right
68.76508225484605,-0.4014301455714011,-1.3927241276274915,10.092371198423933,right
68.96729880503852,-0.4130064985055486,-1.4463397852955153,10.23518268882989,right
69.169515355231,-0.41255507001091973,-1.5126278014296415,10.369071930840486,right
69.37173190542347,-0.4275982680621846,-1.635126553450005,10.632547211429575,right
69.57394845561595,-0.4451308729793555,-1.6891333002846904,10.763371035099134,right
69.77616500580842,-0.45108244091522187,-1.8231601368999257,10.997404060713245,right
69.9783815560009,-0.46800266083179465,-1.9466263611023378,11.218886367675351,right
70.18059810619337,-0.5018431006649404,-1.9862960330695536,11.337032292188058,right
70.38281465638585,-0.5187633205815132,-2.1032067792457676,11.529498778012417,right
70.58503120657832,-0.552603760414659,-2.2561628471991257,11.783405393760763,right
70.78724775677081,-0.5846696167899246,-2.336788799887153,11.930738403157148,right
70.98946430696328,-0.6197885270831358,-2.475616734293116,12.138645206805284,right
71.19168085715576,-0.6442087437587167,-2.55894049796487,12.266221498462098,right
71.39389740734823,-0.6579619890656754,-2.5843983603246437,12.325817579614165,right
71.59611395754071,-0.6578968387390296,-2.639647210910344,12.450846300058304,right
71.79833050773318,-0.6471833760640733,-2.7129309257928718,12.627718063789235,right
72.00054705792566,-0.6597467545033953,-2.753938415783706,12.79877884426495,right
72.20276360811813,-0.6414248365128683,-2.8344319930726583,13.002433053866286,right
72.40498015831061,-0.6411378011990938,-2.8704723566953207,13.124028803520586,right
72.60719670850308,-0.6164858687727237,-2.975312889321398,13.395948148053927,right
72.80941325869557,-0.4385781794417878,-3.1914288387061744,13.501075095250869,right
73.01162980888805,-0.40248698454772147,-3.274683544004679,13.655386470612687,right
73.21384635908052,-0.42053258199475463,-3.309481761581261,13.834135883786567,right
73.416062909273,-0.4746693743358541,-3.313414835097798,14.032171231639847,right
73.61827945946547,-0.5288061666769537,-3.3212138197748664,14.238654842791147,right
73.82049600965794,-0.5288061666769537,-3.3844720881250714,14.436206095098585,right
74.02271255985042,-0.5288061666769537,-3.451633957327896,14.640371433021302,right
74.2249291100429,-0.5237742828324249,-3.5275714483995064,14.848902845037516,right
74.42714566023537,-0.5187836801086542,-3.6075845741948753,15.062791476659712,right
74.62936221042784,-0.5321461961213295,-3.6746410696348404,15.287856848814522,right
74.83157876062032,-0.5456307817280068,-3.7460996461994887,15.51754550819581,right
75.03379531081279,-0.5527735877338077,-3.828109138917408,15.748906425114138,right
75.23601186100527,-0.5660744585348977,-3.9091941514512554,15.985981425007628,right
75.43822841119776,-0.5660744585348977,-3.9091941514512554,15.985981425007628,right
75.64044496139023,-0.5812762509187185,-3.993514926708759,16.22676794290197,right
75.8426615115827,-0.5947308636863802,-4.084595909066634,16.469303209415028,right
76.04487806177518,-0.6029123277690253,-4.185763236945798,16.711467672240218,right
76.24709461196765,-0.6089168408838261,-4.294303670115256,16.95385578302347,right
76.44931116216013,-0.6089168408838261,-4.294303670115256,16.95385578302347,right
76.6515277123526,-0.6109119426350167,-4.4119653786852115,17.19496902775965,right
76.85374426254508,-0.6216203811724861,-4.527650397399992,17.440145884848015,right
77.05596081273755,-0.6209513933461823,-4.659230369594251,17.679307299636406,right
77.25817736293003,-0.6335023321608604,-4.785478922008925,17.923980343889617,right
77.46039391312252,-0.6335023321608604,-4.785478922008925,17.923980343889617,right
77.66261046331499,-0.6211791456597424,-4.939192959208502,18.153906466140395,right
77.86482701350747,-0.6274533214430909,-5.08353625018193,18.391270981387073,right
78.06704356369994,-0.6184623038700214,-5.2469841476805685,18.616891705940752,right
78.26926011389241,-0.6184623038700214,-5.2469841476805685,18.616891705940752,right
78.47147666408489,-0.621088168908773,-5.406934406035267,18.844650626210736,right
78.67369321427736,-0.611938430726908,-5.581743745727394,19.060157816244114,right
78.87590976446984,-0.611938430726908,-5.7544802279626515,19.27615811272047,right
79.07812631466231,-0.611938430726908,-5.932095675174739,19.487110304480264,right
79.28034286485479,-0.611938430726908,-5.932095675174739,19.487110304480264,right
79.48255941504726,-0.611938430726908,-6.114249756463887,19.692994413425954,right
79.68477596523974,-0.611938430726908,-6.3006059401665295,19.893790240131736,right
79.88699251543221,-0.5967645674808111,-6.501476662451048,20.078664102743904,right
80.0892090656247,-0.5967645674808111,-6.501476662451048,20.078664102743904,right
80.29142561581718,-0.5967645674808111,-6.695001479080542,20.268989591167127,right
80.49364216600965,-0.5967645674808111,-6.891739943758914,20.454173156430805,right
80.69585871620212,-0.5967645674808111,-7.091367988073676,20.634190689187662,right
80.8980752663946,-0.5815907042347142,-7.303257658501459,20.797343088787024,right
81.10029181658707,-0.5815907042347142,-7.303257658501459,20.797343088787024,right
81.30250836677955,-0.5815907042347142,-7.5074672772840945,20.966760431144824,right
81.50472491697202,-0.5738366808346531,-7.718323052383831,21.124784053319623,right
81.7069414671645,-0.5858357403573249,-7.918854653147709,21.293275472499978,right
81.90915801735699,-0.5824588128401365,-8.129933623795687,21.444183041716936,right
82.11137456754946,-0.5824588128401365,-8.129933623795687,21.444183041716936,right
82.31359111774194,-0.5732871172005629,-8.345157198886806,21.584894549476243,right
82.51580766793441,-0.5780267402628665,-8.553185062848039,21.731710263093944,right
82.71802421812689,-0.5670663263141107,-8.770070274614252,21.85992240611265,right
82.92024076831936,-0.5783924771374642,-8.975210475423657,22.00160140807249,right
83.12245731851183,-0.570327649006499,-9.190161811631139,22.121230452729925,right
83.32467386870431,-0.570327649006499,-9.190161811631139,22.121230452729925,right
83.52689041889678,-0.5797369036208442,-9.395887493714516,22.250513720378745,right
83.72910696908926,-0.5774405983758519,-9.606565767361086,22.36407759683168,right
83.93132351928173,-0.5704471752982297,-9.81817663529944,22.46783447080044,right
84.13354006947421,-0.5703025049469909,-10.025186753936326,22.572032782887042,right
84.33575661966668,-0.5771768585394436,-10.227591338857462,22.6769578069161,right
84.53797316985916,-0.5780169515781455,-10.43069314973762,22.77076324103132,right
84.74018972005165,-0.5835540304927219,-10.62992166179057,22.863226437537016,right
84.94240627024412,-0.5851064588967586,-10.828791514852893,22.946412189824493,right
85.1446228204366,-0.5833824580505362,-11.027106702054596,23.020903593767482,right
85.34683937062907,-0.5753291475811372,-11.225904028727358,23.083727939903948,right
85.54905592082154,-0.5744450352734638,-11.42105119087183,23.14764783285263,right
85.75127247101402,-0.5825821697256898,-11.612815758394014,23.21460704952314,right
85.9534890212065,-0.5807198301985241,-11.806735581206269,23.2663319195847,right
86.15570557139897,-0.5755908566775538,-12.000808937352419,23.30919692641116,right
86.35792212159144,-0.5259156220152481,-12.202727441122999,23.302610841502855,right
86.56013867178393,-0.46473233004796666,-12.593242283893563,23.309079202726473,right
86.7623552219764,-0.45791747763966095,-12.783838452063241,23.327355476630256,right
86.96457177216888,-0.4149335700189647,-12.977308596674993,23.304112113165864,right
87.16678832236136,-0.4149335700189647,-13.167083977867263,23.318305329045447,right
87.36900487255383,-0.38627763160516715,-13.358424920939553,23.298603215118497,right
87.5712214227463,-0.4006056008120659,-13.549717835774832,23.316706857701554,right
87.77343797293878,-0.3865477816756014,-13.742322693716096,23.30136352699421,right
87.97565452313125,-0.4156130912488782,-13.938371839982521,23.324124013300008,right
88.17787107332373,-0.40207927882815453,-14.134387399268075,23.29944605012263,right
88.3800876235162,-0.41661193361479293,-14.334885944067342,23.297942854748268,right
88.58230417370868,-0.4585867791300967,-14.747354465525559,23.29349172258833,right
88.78452072390115,-0.4958237791635745,-14.961832884912473,23.3003091591908,right
88.98673727409363,-0.5308930601138946,-15.180531903821505,23.300347509667866,right
89.1889538242861,-0.5308930601138946,-15.180531903821505,23.300347509667866,right
89.39117037447859,-0.5772620564054115,-15.406102995300333,23.306928133107924,right
89.59338692467107,-0.6009167037339235,-15.632203934413575,23.286759051282406,right
89.79560347486354,-0.593537328596912,-15.856328442651737,23.23199898753699,right
89.99782002505601,-0.5975142613833282,-16.087970997923456,23.184090540141888,right
90.20003657524849,-0.5959250326792562,-16.32388334384539,23.126290777901232,right
90.40225312544096,-0.5974154298851431,-16.56566524925026,23.066745862424394,right
90.60446967563344,-0.6036582195664448,-16.81346485652993,23.00676508177257,right
90.80668622582591,-0.5883938768415211,-16.80929068715462,22.992082559208306,right
91.0089027760184,-0.5792304323343728,-17.056830704448448,22.9121035691432,right
91.21111932621088,-0.5769775230949568,-17.30997032586916,22.83327305744666,right
91.41333587640335,-0.5790563403712128,-17.56776922194087,22.75277982403141,right
91.61555242659583,-0.5680920125726868,-17.824111800966296,22.653934248547714,right
91.8177689767883,-0.5680920125726868,-17.824111800966296,22.653934248547714,right
92.01998552698078,-0.5641027383667323,-18.085007694347205,22.555419280201853,right
92.22220207717325,-0.5764426029277019,-18.353911363975605,22.465492024967922,right
92.42441862736572,-0.5766183042278056,-18.62003940625515,22.357323081088015,right
92.6266351775582,-0.5608901897945544,-18.613806093009586,22.342882880618212,right
92.82885172775067,-0.5617240841655676,-18.881018375552067,22.22829423485709,right
93.03106827794315,-0.563311167887759,-19.14925742641377,22.106944359759463,right
93.23328482813562,-0.563311167887759,-19.14925742641377,22.106944359759463,right
93.4355013783281,-0.5685114225761148,-19.419433902812905,21.981068613173626,right
93.63771792852057,-0.5677003925408388,-19.686701943016093,21.841818654184763,right
93.83993447871305,-0.5734779796396856,-19.956550213042963,21.70001283265321,right
